classification,token_range,event_month,treatment_unique_body_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_unique_body_count_per_100_repo_months,treatment_unique_body_count_per_100_repositories,control_unique_body_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repositories,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month
HWC-like,ALL,2,820,60,60,300,1366.6666666666667,1366.6666666666667,138,46,46,300,300.0,300.0,682,1.0,1.0
HWC-like,100-110,2,115,60,60,300,191.66666666666666,191.66666666666666,18,46,46,300,39.130434782608695,39.130434782608695,97,0.1402439024390244,0.13043478260869565
HWC-like,111-120,2,106,60,60,300,176.66666666666666,176.66666666666666,13,46,46,300,28.26086956521739,28.26086956521739,93,0.12926829268292683,0.09420289855072464
HWC-like,121-130,2,85,60,60,300,141.66666666666666,141.66666666666666,31,46,46,300,67.3913043478261,67.3913043478261,54,0.10365853658536585,0.2246376811594203
HWC-like,131-140,2,79,60,60,300,131.66666666666666,131.66666666666666,15,46,46,300,32.608695652173914,32.608695652173914,64,0.09634146341463415,0.10869565217391304
HWC-like,141-150,2,75,60,60,300,125.0,125.0,12,46,46,300,26.08695652173913,26.08695652173913,63,0.09146341463414634,0.08695652173913043
HWC-like,151-160,2,94,60,60,300,156.66666666666666,156.66666666666666,8,46,46,300,17.391304347826086,17.391304347826086,86,0.11463414634146342,0.057971014492753624
HWC-like,161-170,2,83,60,60,300,138.33333333333334,138.33333333333334,13,46,46,300,28.26086956521739,28.26086956521739,70,0.10121951219512196,0.09420289855072464
HWC-like,171-180,2,57,60,60,300,95.0,95.0,10,46,46,300,21.73913043478261,21.73913043478261,47,0.06951219512195123,0.07246376811594203
HWC-like,181-190,2,68,60,60,300,113.33333333333333,113.33333333333333,7,46,46,300,15.217391304347826,15.217391304347826,61,0.08292682926829269,0.050724637681159424
HWC-like,191-200,2,58,60,60,300,96.66666666666667,96.66666666666667,11,46,46,300,23.91304347826087,23.91304347826087,47,0.07073170731707316,0.07971014492753623
