dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events
treatment,panther-labs/panther-analysis,2024-05,3,2,1,8,8,0,8,4,-10.0,0,0,2025-03,0,1.0,1.0,8.0,8.0,0.0,8.0,0.0,1.0,8.0,0.0,0.0,0.0,8.0,True,both,1,0,treatment,pre,0,0,2.1972245773362196,2.1972245773362196,0.0
treatment,panther-labs/panther-analysis,2024-06,35,14,12,88,40,48,68,42,-9.0,0,0,2025-03,0,12.0,12.0,88.0,88.0,0.0,49.0,39.0,0.5568181818181818,28.0,12.0,21.0,27.0,68.0,True,both,1,0,treatment,pre,0,0,4.48863636973214,3.912023005428146,3.6888794541139363
treatment,panther-labs/panther-analysis,2024-07,37,21,20,111,70,41,97,45,-8.0,0,0,2025-03,0,20.0,20.0,111.0,111.0,0.0,68.0,43.0,0.6126126126126126,54.0,16.0,14.0,27.0,97.0,True,both,1,0,treatment,pre,0,0,4.718498871295094,4.23410650459726,3.784189633918261
treatment,panther-labs/panther-analysis,2024-08,33,20,19,59,22,37,46,26,-7.0,0,0,2025-03,0,19.0,19.0,59.0,59.0,0.0,36.0,23.0,0.6101694915254238,14.0,8.0,22.0,15.0,46.0,True,both,1,0,treatment,pre,0,0,4.0943445622221,3.6109179126442243,3.1780538303479458
treatment,panther-labs/panther-analysis,2024-09,26,14,14,140,91,49,140,47,-6.0,0,0,2025-03,0,14.0,14.0,140.0,140.0,0.0,110.0,30.0,0.7857142857142857,86.0,5.0,24.0,25.0,140.0,True,both,1,0,treatment,pre,0,0,4.948759890378168,4.709530201312334,3.4339872044851463
treatment,panther-labs/panther-analysis,2024-10,30,14,14,640,61,579,630,292,-5.0,0,0,2025-03,0,14.0,14.0,640.0,640.0,0.0,290.0,350.0,0.453125,34.0,27.0,256.0,323.0,630.0,True,both,1,0,treatment,pre,0,0,6.46302945692067,5.673323267171493,5.860786223465865
treatment,panther-labs/panther-analysis,2024-11,22,13,13,117,84,33,115,58,-4.0,0,0,2025-03,0,13.0,13.0,117.0,117.0,0.0,71.0,46.0,0.6068376068376068,68.0,16.0,3.0,30.0,115.0,True,both,1,0,treatment,pre,0,0,4.770684624465665,4.276666119016055,3.8501476017100584
treatment,panther-labs/panther-analysis,2024-12,11,8,8,38,32,6,37,15,-3.0,0,0,2025-03,0,8.0,8.0,38.0,38.0,0.0,17.0,21.0,0.4473684210526316,16.0,16.0,1.0,5.0,37.0,True,both,1,0,treatment,pre,0,0,3.6635616461296463,2.8903717578961645,3.091042453358316
treatment,panther-labs/panther-analysis,2025-01,44,24,23,259,239,20,176,43,-2.0,0,0,2025-03,0,23.0,23.0,259.0,259.0,0.0,182.0,77.0,0.7027027027027027,179.0,60.0,3.0,17.0,176.0,True,both,1,0,treatment,pre,0,0,5.560681631015528,5.209486152841421,4.356708826689592
treatment,panther-labs/panther-analysis,2025-02,32,12,12,45,31,14,44,19,-1.0,0,0,2025-03,0,12.0,12.0,45.0,45.0,0.0,16.0,29.0,0.3555555555555555,13.0,18.0,3.0,11.0,44.0,True,both,1,0,treatment,pre,0,0,3.828641396489095,2.833213344056216,3.4011973816621555
treatment,panther-labs/panther-analysis,2025-03,29,19,16,79,63,16,79,30,0.0,1,1,2025-03,1,16.0,16.0,79.0,79.0,0.0,34.0,45.0,0.430379746835443,31.0,32.0,3.0,13.0,79.0,True,both,1,0,treatment,event,0,0,4.382026634673881,3.5553480614894135,3.828641396489095
treatment,panther-labs/panther-analysis,2025-04,30,20,18,55,28,27,54,27,1.0,1,1,2025-03,0,18.0,18.0,55.0,55.0,0.0,35.0,20.0,0.6363636363636364,23.0,5.0,12.0,15.0,54.0,True,both,1,0,treatment,post,0,0,4.02535169073515,3.58351893845611,3.044522437723423
treatment,panther-labs/panther-analysis,2025-05,12,8,8,12,1,11,12,10,2.0,1,1,2025-03,0,8.0,8.0,12.0,12.0,0.0,3.0,9.0,0.25,1.0,0.0,2.0,9.0,12.0,True,both,1,0,treatment,post,0,0,2.5649493574615367,1.3862943611198906,2.302585092994046
treatment,panther-labs/panther-analysis,2025-06,13,6,5,6,0,6,6,5,3.0,1,1,2025-03,0,5.0,5.0,6.0,6.0,0.0,1.0,5.0,0.1666666666666666,0.0,0.0,1.0,5.0,6.0,True,both,1,0,treatment,post,0,0,1.9459101490553132,0.6931471805599453,1.791759469228055
treatment,panther-labs/panther-analysis,2025-07,18,10,10,37,29,8,37,15,4.0,1,1,2025-03,1,10.0,10.0,37.0,37.0,0.0,12.0,25.0,0.3243243243243243,8.0,21.0,4.0,4.0,37.0,True,both,1,0,treatment,post,0,0,3.6375861597263857,2.5649493574615367,3.258096538021482
treatment,panther-labs/panther-analysis,2025-08,22,8,5,168,33,135,167,152,5.0,1,1,2025-03,0,5.0,5.0,168.0,168.0,0.0,104.0,64.0,0.6190476190476191,26.0,7.0,78.0,57.0,167.0,True,both,1,0,treatment,post,0,0,5.1298987149230735,4.653960350157523,4.174387269895637
treatment,raphaelmansuy/code2prompt,2024-03,25,9,8,43,33,10,33,6,-6.0,0,0,2024-09,0,8.0,8.0,43.0,43.0,0.0,9.0,34.0,0.2093023255813953,7.0,26.0,2.0,8.0,33.0,True,both,1,0,treatment,pre,0,0,3.784189633918261,2.302585092994046,3.5553480614894135
treatment,raphaelmansuy/code2prompt,2024-06,45,28,23,113,60,53,76,34,-3.0,0,0,2024-09,0,23.0,23.0,113.0,113.0,0.0,43.0,70.0,0.3805309734513274,26.0,34.0,17.0,36.0,76.0,True,both,1,0,treatment,pre,0,0,4.736198448394496,3.784189633918261,4.2626798770413155
treatment,raphaelmansuy/code2prompt,2024-07,55,22,20,177,112,65,131,42,-2.0,0,0,2024-09,0,20.0,20.0,177.0,177.0,0.0,52.0,125.0,0.2937853107344633,29.0,83.0,23.0,42.0,130.0,True,both,1,0,treatment,pre,0,0,5.181783550292085,3.970291913552122,4.836281906951478
treatment,raphaelmansuy/code2prompt,2024-09,6,5,4,104,71,33,96,23,0.0,1,1,2024-09,1,4.0,4.0,104.0,104.0,0.0,43.0,61.0,0.4134615384615384,30.0,41.0,13.0,20.0,96.0,True,both,1,0,treatment,event,0,0,4.653960350157523,3.784189633918261,4.127134385045092
treatment,raphaelmansuy/code2prompt,2024-12,1,0,0,0,0,0,0,0,3.0,1,1,2024-09,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,raphaelmansuy/code2prompt,2025-01,2,0,0,0,0,0,0,0,4.0,1,1,2024-09,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,raphaelmansuy/iteration_of_tought,2024-09,19,11,11,53,16,37,16,1,0.0,1,1,2024-09,1,11.0,11.0,53.0,53.0,0.0,15.0,38.0,0.2830188679245283,6.0,10.0,9.0,28.0,15.0,True,both,1,0,treatment,event,0,0,3.9889840465642745,2.772588722239781,3.6635616461296463
treatment,samuelgursky/davinci-resolve-mcp,2025-03,13,7,5,420,414,6,414,30,0.0,1,1,2025-03,1,5.0,5.0,420.0,420.0,0.0,49.0,371.0,0.1166666666666666,48.0,366.0,1.0,5.0,414.0,True,both,1,0,treatment,event,0,0,6.042632833682381,3.912023005428146,5.918893854273146
treatment,samuelgursky/davinci-resolve-mcp,2025-04,2,1,0,0,0,0,0,0,1.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,sbomify/sbomify,2025-01,11,2,2,370,364,6,364,66,0.0,1,1,2025-01,1,2.0,2.0,370.0,370.0,0.0,85.0,285.0,0.2297297297297297,84.0,280.0,1.0,5.0,364.0,True,both,1,0,treatment,event,0,0,5.916202062607435,4.454347296253507,5.655991810819852
treatment,sbomify/sbomify,2025-02,42,24,16,136,63,73,110,21,1.0,1,1,2025-01,1,16.0,16.0,136.0,136.0,0.0,23.0,113.0,0.1691176470588235,14.0,49.0,9.0,64.0,110.0,True,both,1,0,treatment,post,0,0,4.919980925828125,3.1780538303479458,4.736198448394496
treatment,sbomify/sbomify,2025-03,10,3,3,29,20,9,29,9,2.0,1,1,2025-01,0,3.0,3.0,29.0,29.0,0.0,11.0,18.0,0.3793103448275862,10.0,10.0,1.0,8.0,29.0,True,both,1,0,treatment,post,0,0,3.4011973816621555,2.4849066497880004,2.9444389791664403
treatment,sbomify/sbomify,2025-04,9,6,5,22,14,8,21,8,3.0,1,1,2025-01,0,5.0,5.0,22.0,22.0,0.0,3.0,19.0,0.1363636363636363,3.0,11.0,0.0,8.0,21.0,True,both,1,0,treatment,post,0,0,3.1354942159291497,1.3862943611198906,2.995732273553991
treatment,sbomify/sbomify,2025-05,103,63,45,383,187,196,265,59,4.0,1,1,2025-01,1,45.0,45.0,383.0,383.0,0.0,67.0,316.0,0.1749347258485639,39.0,148.0,28.0,168.0,265.0,True,both,1,0,treatment,post,0,0,5.950642552587727,4.219507705176107,5.75890177387728
treatment,sbomify/sbomify,2025-06,44,28,25,339,254,85,293,40,5.0,1,1,2025-01,1,25.0,25.0,339.0,339.0,0.0,29.0,310.0,0.0855457227138643,21.0,233.0,8.0,77.0,293.0,True,both,1,0,treatment,post,0,0,5.8289456176102075,3.4011973816621555,5.739792912179234
treatment,sbomify/sbomify,2025-07,109,55,50,1671,948,723,1161,99,6.0,1,1,2025-01,1,50.0,50.0,1671.0,1671.0,0.0,187.0,1484.0,0.1119090365050867,154.0,794.0,33.0,690.0,1161.0,True,both,1,0,treatment,post,0,0,7.421775793644647,5.236441962829949,7.3031700512368
treatment,sbomify/sbomify,2025-08,79,36,28,230,99,131,186,40,7.0,1,1,2025-01,0,28.0,28.0,230.0,230.0,0.0,18.0,212.0,0.0782608695652174,15.0,84.0,3.0,128.0,183.0,True,both,1,0,treatment,post,0,0,5.442417710521793,2.9444389791664403,5.3612921657094255
treatment,sirkirby/unifi-network-rules,2024-09,9,4,3,83,56,27,70,10,-6.0,0,0,2025-03,0,3.0,3.0,83.0,83.0,0.0,19.0,64.0,0.2289156626506024,13.0,43.0,6.0,21.0,70.0,True,both,1,0,treatment,pre,0,0,4.430816798843313,2.995732273553991,4.174387269895637
treatment,sirkirby/unifi-network-rules,2024-11,1,1,1,24,21,3,24,5,-4.0,0,0,2025-03,0,1.0,1.0,24.0,24.0,0.0,3.0,21.0,0.125,3.0,18.0,0.0,3.0,24.0,True,both,1,0,treatment,pre,0,0,3.2188758248682006,1.3862943611198906,3.091042453358316
treatment,sirkirby/unifi-network-rules,2024-12,1,1,1,29,16,13,29,4,-3.0,0,0,2025-03,0,1.0,1.0,29.0,29.0,0.0,4.0,25.0,0.1379310344827586,4.0,12.0,0.0,13.0,29.0,True,both,1,0,treatment,pre,0,0,3.4011973816621555,1.6094379124341003,3.258096538021482
treatment,sirkirby/unifi-network-rules,2025-01,2,1,1,8,3,5,8,2,-2.0,0,0,2025-03,0,1.0,1.0,8.0,8.0,0.0,2.0,6.0,0.25,2.0,1.0,0.0,5.0,8.0,True,both,1,0,treatment,pre,0,0,2.1972245773362196,1.0986122886681096,1.9459101490553132
treatment,sirkirby/unifi-network-rules,2025-02,18,16,15,336,132,204,181,10,-1.0,0,0,2025-03,0,15.0,15.0,336.0,336.0,0.0,58.0,278.0,0.1726190476190476,27.0,105.0,31.0,173.0,181.0,True,both,1,0,treatment,pre,0,0,5.820082930352362,4.07753744390572,5.631211781821365
treatment,sirkirby/unifi-network-rules,2025-03,9,7,7,432,342,90,354,36,0.0,1,1,2025-03,1,7.0,7.0,432.0,432.0,0.0,114.0,318.0,0.2638888888888889,101.0,241.0,13.0,77.0,354.0,True,both,1,0,treatment,event,0,0,6.07073772800249,4.74493212836325,5.765191102784844
treatment,sirkirby/unifi-network-rules,2025-04,2,2,2,102,35,67,94,14,1.0,1,1,2025-03,0,2.0,2.0,102.0,102.0,0.0,15.0,87.0,0.1470588235294117,11.0,24.0,4.0,63.0,94.0,True,both,1,0,treatment,post,0,0,4.634728988229636,2.772588722239781,4.477336814478207
treatment,sirkirby/unifi-network-rules,2025-06,12,7,6,140,85,55,75,7,3.0,1,1,2025-03,0,6.0,6.0,140.0,140.0,0.0,24.0,116.0,0.1714285714285714,14.0,71.0,10.0,45.0,75.0,True,both,1,0,treatment,post,0,0,4.948759890378168,3.2188758248682006,4.762173934797756
treatment,sirkirby/unifi-network-rules,2025-07,11,9,9,52,17,35,35,7,4.0,1,1,2025-03,1,9.0,9.0,52.0,52.0,0.0,4.0,48.0,0.0769230769230769,1.0,16.0,3.0,32.0,35.0,True,both,1,0,treatment,post,0,0,3.970291913552122,1.6094379124341003,3.8918202981106265
treatment,sirkirby/unifi-network-rules,2025-08,2,2,2,67,52,15,67,11,5.0,1,1,2025-03,0,2.0,2.0,67.0,67.0,0.0,11.0,56.0,0.1641791044776119,10.0,42.0,1.0,14.0,67.0,True,both,1,0,treatment,post,0,0,4.219507705176107,2.4849066497880004,4.04305126783455
treatment,smartian1/tgtrader,2024-12,61,55,47,593,441,152,453,47,-1.0,0,0,2025-01,0,47.0,47.0,593.0,593.0,0.0,273.0,320.0,0.460370994940978,225.0,216.0,48.0,104.0,453.0,True,both,1,0,treatment,pre,0,0,6.386879319362645,5.6131281063880705,5.771441123130016
treatment,smartian1/tgtrader,2025-01,97,91,89,509,246,263,269,59,0.0,1,1,2025-01,1,89.0,89.0,509.0,509.0,0.0,126.0,383.0,0.2475442043222004,99.0,147.0,27.0,236.0,269.0,True,both,1,0,treatment,event,0,0,6.234410725718371,4.844187086458591,5.950642552587727
treatment,smartian1/tgtrader,2025-02,65,54,50,165,77,88,92,21,1.0,1,1,2025-01,0,50.0,50.0,165.0,165.0,0.0,45.0,120.0,0.2727272727272727,32.0,45.0,13.0,75.0,92.0,True,both,1,0,treatment,post,0,0,5.111987788356544,3.828641396489095,4.795790545596741
treatment,smartian1/tgtrader,2025-03,6,4,4,17,13,4,15,5,2.0,1,1,2025-01,0,4.0,4.0,17.0,17.0,0.0,4.0,13.0,0.2352941176470588,3.0,10.0,1.0,3.0,15.0,True,both,1,0,treatment,post,0,0,2.8903717578961645,1.6094379124341003,2.639057329615259
treatment,smartian1/tgtrader,2025-04,14,14,14,72,36,36,40,6,3.0,1,1,2025-01,0,14.0,14.0,72.0,72.0,0.0,14.0,58.0,0.1944444444444444,9.0,27.0,5.0,31.0,40.0,True,both,1,0,treatment,post,0,0,4.290459441148391,2.70805020110221,4.07753744390572
treatment,smorin/py-launch-blueprint,2025-01,54,12,4,54,33,21,33,4,-2.0,0,0,2025-03,0,4.0,4.0,54.0,54.0,0.0,6.0,48.0,0.1111111111111111,4.0,29.0,2.0,19.0,33.0,True,both,1,0,treatment,pre,0,0,4.007333185232471,1.9459101490553132,3.8918202981106265
treatment,smorin/py-launch-blueprint,2025-02,23,3,1,1,0,1,1,1,-1.0,0,0,2025-03,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,treatment,pre,0,0,0.6931471805599453,0.0,0.6931471805599453
treatment,smorin/py-launch-blueprint,2025-03,24,1,1,3,3,0,3,1,0.0,1,1,2025-03,1,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.3333333333333333,1.0,2.0,0.0,0.0,3.0,True,both,1,0,treatment,event,0,0,1.3862943611198906,0.6931471805599453,1.0986122886681096
treatment,smorin/py-launch-blueprint,2025-04,108,16,5,15,1,14,13,4,1.0,1,1,2025-03,1,5.0,5.0,15.0,15.0,0.0,1.0,14.0,0.0666666666666666,0.0,1.0,1.0,13.0,13.0,True,both,1,0,treatment,post,0,0,2.772588722239781,0.6931471805599453,2.70805020110221
treatment,smorin/py-launch-blueprint,2025-05,48,7,0,0,0,0,0,0,2.0,1,1,2025-03,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,smorin/py-launch-blueprint,2025-06,6,1,0,0,0,0,0,0,3.0,1,1,2025-03,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,sshtunnelvision/MCP-LOGO-GEN,2025-03,15,4,4,39,31,8,31,7,0.0,1,1,2025-03,1,4.0,4.0,39.0,39.0,0.0,15.0,24.0,0.3846153846153846,15.0,16.0,0.0,8.0,31.0,True,both,1,0,treatment,event,0,0,3.6888794541139363,2.772588722239781,3.2188758248682006
treatment,synaptiai/prompt-decorators,2025-02,3,1,1,529,529,0,529,101,-1.0,0,0,2025-03,0,1.0,1.0,529.0,529.0,0.0,161.0,368.0,0.3043478260869565,161.0,368.0,0.0,0.0,529.0,True,both,1,0,treatment,pre,0,0,6.272877006546167,5.087596335232384,5.910796644040527
treatment,synaptiai/prompt-decorators,2025-03,109,49,41,4971,2752,2219,2736,256,0.0,1,1,2025-03,1,41.0,41.0,4971.0,4971.0,0.0,2047.0,2924.0,0.4117883725608529,833.0,1919.0,1214.0,1005.0,2729.0,True,both,1,0,treatment,event,0,0,8.511577452630602,7.6246189861593985,7.981049759665957
treatment,synaptiai/prompt-decorators,2025-04,2,0,0,0,0,0,0,0,1.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,synaptiai/prompt-decorators,2025-05,21,5,5,51,41,10,43,9,2.0,1,1,2025-03,0,5.0,5.0,51.0,51.0,0.0,5.0,46.0,0.0980392156862745,5.0,36.0,0.0,10.0,43.0,True,both,1,0,treatment,post,0,0,3.9512437185814275,1.791759469228055,3.8501476017100584
treatment,synaptiai/prompt-decorators,2025-06,16,0,0,0,0,0,0,0,3.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,synaptiai/prompt-decorators,2025-07,8,0,0,0,0,0,0,0,4.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,synaptiai/prompt-decorators,2025-08,5,0,0,0,0,0,0,0,5.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,terryyin/lizard,2024-04,2,2,2,8,5,3,8,3,-9.0,0,0,2025-01,0,2.0,2.0,8.0,8.0,0.0,3.0,5.0,0.375,1.0,4.0,2.0,1.0,8.0,True,both,1,0,treatment,pre,0,0,2.1972245773362196,1.3862943611198906,1.791759469228055
treatment,terryyin/lizard,2024-08,1,1,1,3,2,1,3,2,-5.0,0,0,2025-01,0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,True,both,1,0,treatment,pre,0,0,1.3862943611198906,0.0,1.3862943611198906
treatment,terryyin/lizard,2024-10,4,4,3,12,7,5,12,5,-3.0,0,0,2025-01,0,3.0,3.0,12.0,12.0,0.0,6.0,6.0,0.5,4.0,3.0,2.0,3.0,12.0,True,both,1,0,treatment,pre,0,0,2.5649493574615367,1.9459101490553132,1.9459101490553132
treatment,terryyin/lizard,2024-12,9,9,7,29,7,22,16,2,-1.0,0,0,2025-01,0,7.0,7.0,29.0,29.0,0.0,16.0,13.0,0.5517241379310345,2.0,5.0,14.0,8.0,16.0,True,both,1,0,treatment,pre,0,0,3.4011973816621555,2.833213344056216,2.639057329615259
treatment,terryyin/lizard,2025-01,36,28,24,158,124,34,131,18,0.0,1,1,2025-01,1,24.0,24.0,158.0,158.0,0.0,84.0,74.0,0.5316455696202531,66.0,58.0,18.0,16.0,131.0,True,both,1,0,treatment,event,0,0,5.0689042022202315,4.442651256490317,4.31748811353631
treatment,terryyin/lizard,2025-02,58,52,46,220,108,112,168,29,1.0,1,1,2025-01,1,46.0,46.0,220.0,220.0,0.0,118.0,102.0,0.5363636363636364,52.0,56.0,66.0,46.0,168.0,True,both,1,0,treatment,post,0,0,5.3981627015177525,4.77912349311153,4.634728988229636
treatment,terryyin/lizard,2025-03,14,14,14,60,43,17,44,4,2.0,1,1,2025-01,0,14.0,14.0,60.0,60.0,0.0,23.0,37.0,0.3833333333333333,16.0,27.0,7.0,10.0,44.0,True,both,1,0,treatment,post,0,0,4.110873864173311,3.1780538303479458,3.6375861597263857
treatment,terryyin/lizard,2025-04,8,6,4,24,8,16,21,8,3.0,1,1,2025-01,1,4.0,4.0,24.0,24.0,0.0,5.0,19.0,0.2083333333333333,2.0,6.0,3.0,13.0,21.0,True,both,1,0,treatment,post,0,0,3.2188758248682006,1.791759469228055,2.995732273553991
treatment,terryyin/lizard,2025-05,40,39,29,185,116,69,154,20,4.0,1,1,2025-01,0,29.0,29.0,185.0,185.0,0.0,81.0,104.0,0.4378378378378378,52.0,64.0,29.0,40.0,153.0,True,both,1,0,treatment,post,0,0,5.225746673713202,4.406719247264253,4.653960350157523
treatment,terryyin/lizard,2025-06,3,3,3,50,42,8,50,6,5.0,1,1,2025-01,0,3.0,3.0,50.0,50.0,0.0,22.0,28.0,0.44,19.0,23.0,3.0,5.0,50.0,True,both,1,0,treatment,post,0,0,3.9318256327243257,3.1354942159291497,3.367295829986474
treatment,terryyin/lizard,2025-07,1,1,1,2,2,0,2,2,6.0,1,1,2025-01,0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,True,both,1,0,treatment,post,0,0,1.0986122886681096,0.6931471805599453,0.6931471805599453
treatment,terryyin/lizard,2025-08,1,1,1,8,7,1,8,2,7.0,1,1,2025-01,0,1.0,1.0,8.0,8.0,0.0,4.0,4.0,0.5,4.0,3.0,0.0,1.0,8.0,True,both,1,0,treatment,post,0,0,2.1972245773362196,1.6094379124341003,1.6094379124341003
treatment,tmux-python/tmuxp,2024-01,4,0,0,0,0,0,0,0,-14.0,0,0,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,pre,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2024-02,46,16,8,69,1,68,60,21,-13.0,0,0,2025-03,0,8.0,8.0,69.0,69.0,0.0,3.0,66.0,0.0434782608695652,0.0,1.0,3.0,65.0,60.0,True,both,1,0,treatment,pre,0,0,4.248495242049359,1.3862943611198906,4.204692619390966
treatment,tmux-python/tmuxp,2024-03,40,16,5,66,0,66,63,31,-12.0,0,0,2025-03,0,5.0,5.0,66.0,66.0,0.0,8.0,58.0,0.1212121212121212,0.0,0.0,8.0,58.0,63.0,True,both,1,0,treatment,pre,0,0,4.204692619390966,2.1972245773362196,4.07753744390572
treatment,tmux-python/tmuxp,2024-04,32,14,9,31,2,29,27,15,-11.0,0,0,2025-03,0,9.0,9.0,31.0,31.0,0.0,3.0,28.0,0.0967741935483871,2.0,0.0,1.0,28.0,27.0,True,both,1,0,treatment,pre,0,0,3.4657359027997265,1.3862943611198906,3.367295829986474
treatment,tmux-python/tmuxp,2024-05,11,3,1,17,0,17,17,11,-10.0,0,0,2025-03,0,1.0,1.0,17.0,17.0,0.0,11.0,6.0,0.6470588235294118,0.0,0.0,11.0,6.0,17.0,True,both,1,0,treatment,pre,0,0,2.8903717578961645,2.4849066497880004,1.9459101490553132
treatment,tmux-python/tmuxp,2024-06,10,0,0,0,0,0,0,0,-9.0,0,0,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,pre,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2024-07,9,2,1,11,0,11,11,4,-8.0,0,0,2025-03,0,1.0,1.0,11.0,11.0,0.0,1.0,10.0,0.0909090909090909,0.0,0.0,1.0,10.0,11.0,True,both,1,0,treatment,pre,0,0,2.4849066497880004,0.6931471805599453,2.3978952727983707
treatment,tmux-python/tmuxp,2024-08,7,0,0,0,0,0,0,0,-7.0,0,0,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,pre,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2024-09,6,0,0,0,0,0,0,0,-6.0,0,0,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,pre,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2024-10,10,1,1,1,0,1,1,1,-5.0,0,0,2025-03,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,treatment,pre,0,0,0.6931471805599453,0.0,0.6931471805599453
treatment,tmux-python/tmuxp,2024-11,19,3,1,1,0,1,1,1,-4.0,0,0,2025-03,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,treatment,pre,0,0,0.6931471805599453,0.0,0.6931471805599453
treatment,tmux-python/tmuxp,2024-12,21,4,2,81,0,81,79,31,-3.0,0,0,2025-03,0,2.0,2.0,81.0,81.0,0.0,6.0,75.0,0.074074074074074,0.0,0.0,6.0,75.0,79.0,True,both,1,0,treatment,pre,0,0,4.406719247264253,1.9459101490553132,4.330733340286331
treatment,tmux-python/tmuxp,2025-01,24,8,3,124,0,124,118,38,-2.0,0,0,2025-03,0,3.0,3.0,124.0,124.0,0.0,31.0,93.0,0.25,0.0,0.0,31.0,93.0,118.0,True,both,1,0,treatment,pre,0,0,4.8283137373023015,3.4657359027997265,4.543294782270004
treatment,tmux-python/tmuxp,2025-02,63,29,20,35,2,33,28,14,-1.0,0,0,2025-03,0,20.0,20.0,35.0,35.0,0.0,1.0,34.0,0.0285714285714285,1.0,1.0,0.0,33.0,28.0,True,both,1,0,treatment,pre,0,0,3.58351893845611,0.6931471805599453,3.5553480614894135
treatment,tmux-python/tmuxp,2025-03,10,0,0,0,0,0,0,0,0.0,1,1,2025-03,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,event,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2025-04,10,0,0,0,0,0,0,0,1.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2025-05,12,0,0,0,0,0,0,0,2.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,tmux-python/tmuxp,2025-06,14,5,4,7,0,7,6,5,3.0,1,1,2025-03,0,4.0,4.0,7.0,7.0,0.0,1.0,6.0,0.1428571428571428,0.0,0.0,1.0,6.0,6.0,True,both,1,0,treatment,post,0,0,2.0794415416798357,0.6931471805599453,1.9459101490553132
