treatment_repo,treatment_month,event_month,time_to_event,in_event_window,original_control_slots,python_eligible_controls,no_python_controls,snapshot_unknown_controls,missing_clone_controls,missing_monthly_history_controls,no_prior_snapshot_controls,exact_month_python_controls,prior_asof_python_controls,has_any_python_control,has_all_three_python_controls,coverage_class,eligible_snapshot_age_min_months,eligible_snapshot_age_median_months,eligible_snapshot_age_max_months,python_eligible_control_repos,no_python_control_repos,unavailable_or_unknown_control_repos,stable_python_control_count_event_window
ethyca/fides,2025-05,2025-03,2.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-06,2025-03,3.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-07,2025-03,4.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-08,2025-03,5.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ezyang/codemcp,2025-03,2025-03,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
ezyang/codemcp,2025-04,2025-03,1.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,1,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
ezyang/codemcp,2025-05,2025-03,2.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,1,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
ezyang/codemcp,2025-06,2025-03,3.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,1.0,2,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
gerred/mcp-server-replicate,2025-01,2025-01,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,MrTimonM/Arichain-Bot | ali-bahrainian/RAG_best_practices | yihozhang/most-influential-pl-papers,,,3
gerred/mcp-server-replicate,2025-02,2025-01,1.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,1,1.0,1,MrTimonM/Arichain-Bot | ali-bahrainian/RAG_best_practices | yihozhang/most-influential-pl-papers,,,3
getsentry/sentry,2024-01,2025-02,-13.0,0,3,1,0,0,0,0,2,1,0,1,0,1_of_3,0,0.0,0,golemfoundation/octant,,NVIDIA/cuEquivariance | aj47/100x-orchestrator,1
getsentry/sentry,2024-02,2025-02,-12.0,0,3,1,0,0,0,0,2,1,0,1,0,1_of_3,0,0.0,0,golemfoundation/octant,,NVIDIA/cuEquivariance | aj47/100x-orchestrator,1
getsentry/sentry,2024-03,2025-02,-11.0,0,3,1,0,0,0,0,2,1,0,1,0,1_of_3,0,0.0,0,golemfoundation/octant,,NVIDIA/cuEquivariance | aj47/100x-orchestrator,1
getsentry/sentry,2024-04,2025-02,-10.0,0,3,1,0,0,0,0,2,1,0,1,0,1_of_3,0,0.0,0,golemfoundation/octant,,NVIDIA/cuEquivariance | aj47/100x-orchestrator,1
getsentry/sentry,2024-05,2025-02,-9.0,0,3,1,0,0,0,0,2,1,0,1,0,1_of_3,0,0.0,0,golemfoundation/octant,,NVIDIA/cuEquivariance | aj47/100x-orchestrator,1
