dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files
control,weaviate/t2v-transformers-models,2025-08,1,1,1,7,2,5,7,2
control,weizequan/TASHR,2024-03,1,0,0,0,0,0,0,0
control,xinsir6/ControlNetPlus,2024-07,45,10,4,133,131,2,131,11
control,xinsir6/ControlNetPlus,2024-08,2,0,0,0,0,0,0,0
control,xinsir6/ControlNetPlus,2024-09,1,1,1,6,2,4,6,1
control,xnl-h4ck3r/getSubsidiaries,2024-12,5,1,1,1,1,0,1,1
control,yihozhang/most-influential-pl-papers,2025-01,3,3,0,0,0,0,0,0
control,yoongi43/music_audio_enhancement_conformer,2024-06,5,3,2,97,96,1,96,9
control,yoongi43/music_audio_enhancement_conformer,2024-11,2,2,2,2,0,2,1,1
control,yoongi43/music_audio_enhancement_conformer,2025-01,1,0,0,0,0,0,0,0
control,yoongi43/music_audio_enhancement_conformer,2025-03,0,0,0,0,0,0,0,0
control,ysj9909/SHViT,2024-03,7,0,0,0,0,0,0,0
control,ysj9909/SHViT,2024-04,11,2,2,136,134,2,134,20
control,ysj9909/SHViT,2024-05,8,3,0,0,0,0,0,0
control,ysj9909/SHViT,2024-06,3,1,0,0,0,0,0,0
control,zeyangsha/De-Fake,2024-02,2,2,1,161,161,0,161,12
control,zeyangsha/De-Fake,2024-05,14,5,2,154,154,0,154,10
control,zeyangsha/De-Fake,2025-06,2,0,0,0,0,0,0,0
control,zhang-xr/FirmLLM,2025-02,25,9,8,238,217,21,217,16
control,zhang-xr/FirmLLM,2025-03,55,21,14,53,8,45,42,10
control,zhang-xr/FirmLLM,2025-04,3,2,2,5,0,5,4,2
control,zhipeixu/FakeShield,2024-10,11,0,0,0,0,0,0,0
control,zhipeixu/FakeShield,2025-02,17,6,5,2460,2452,8,2452,377
control,zhipeixu/FakeShield,2025-03,1,0,0,0,0,0,0,0
control,zhipeixu/FakeShield,2025-04,1,0,0,0,0,0,0,0
control,zhipeixu/FakeShield,2025-05,3,0,0,0,0,0,0,0
control,zhipeixu/FakeShield,2025-06,1,0,0,0,0,0,0,0
control,zhou19830318/xiaozhi_micropython,2025-02,20,8,6,38,30,8,30,2
control,zhou19830318/xiaozhi_micropython,2025-03,97,23,20,284,274,10,267,17
control,zhou19830318/xiaozhi_micropython,2025-04,1,1,1,13,13,0,13,1
control,zju3dv/ready_to_react,2025-02,3,1,1,1092,1092,0,1092,65
control,zju3dv/ready_to_react,2025-03,1,0,0,0,0,0,0,0
treatment,1mrat/cursor-taskrunner,2024-08,4,1,1,8,8,0,8,1
treatment,Anemll/Anemll,2025-02,8,7,6,191,160,31,160,11
treatment,Anemll/Anemll,2025-04,5,1,1,25,4,21,25,6
treatment,Anemll/Anemll,2025-05,1,1,1,1,0,1,1,1
treatment,Anemll/Anemll,2025-06,59,40,36,714,566,148,569,98
treatment,Anemll/Anemll,2025-07,1,1,1,116,84,32,116,12
treatment,Apocrathia/home-assistant-config,2024-01,5,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-02,1,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-03,3,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-04,6,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-05,10,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-06,1,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-07,15,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-10,1,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-11,40,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2024-12,2,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2025-01,22,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2025-02,7,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2025-03,4,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2025-05,1,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2025-06,1,1,1,1,0,1,1,1
treatment,Apocrathia/home-assistant-config,2025-07,21,0,0,0,0,0,0,0
treatment,Apocrathia/home-assistant-config,2025-08,6,0,0,0,0,0,0,0
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,56,33,32,297,192,105,192,23
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,2,0,0,0,0,0,0,0
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,1,0,0,0,0,0,0,0
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,1,1,1,12,12,0,12,2
treatment,Chocksy/qc-options-framework,2024-04,4,2,2,295,292,3,292,50
treatment,Chocksy/qc-options-framework,2024-06,11,7,7,65,10,55,45,17
treatment,Chocksy/qc-options-framework,2024-07,4,4,4,19,9,10,17,7
treatment,Chocksy/qc-options-framework,2024-08,17,17,17,254,41,213,168,20
treatment,Chocksy/qc-options-framework,2024-09,14,14,12,69,26,43,47,14
treatment,Chocksy/qc-options-framework,2024-10,2,2,2,7,0,7,7,5
treatment,Chocksy/qc-options-framework,2024-11,27,21,20,215,181,34,184,22
treatment,Chocksy/qc-options-framework,2024-12,9,9,7,31,6,25,19,7
treatment,Chocksy/qc-options-framework,2025-01,3,3,2,5,0,5,3,2
treatment,Chocksy/qc-options-framework,2025-03,5,2,2,48,20,28,42,10
treatment,DannyMac180/mirror,2024-12,15,11,9,184,149,35,149,32
treatment,DataDog/integrations-core,2024-01,233,100,69,473,159,314,453,262
treatment,DataDog/integrations-core,2024-02,199,96,80,413,130,283,342,147
treatment,DataDog/integrations-core,2024-03,220,108,87,578,287,291,537,168
treatment,DataDog/integrations-core,2024-04,110,44,34,679,219,460,502,238
treatment,DataDog/integrations-core,2024-05,141,56,41,467,317,150,424,93
treatment,DataDog/integrations-core,2024-06,155,80,64,407,157,250,375,112
treatment,DataDog/integrations-core,2024-07,148,62,44,352,198,154,328,101
treatment,DataDog/integrations-core,2024-08,209,106,79,969,344,625,826,315
treatment,DataDog/integrations-core,2024-09,171,65,52,889,412,477,877,297
treatment,DataDog/integrations-core,2024-10,141,70,47,597,286,311,556,150
treatment,DataDog/integrations-core,2024-11,128,49,35,297,154,143,283,99
treatment,DataDog/integrations-core,2024-12,111,51,34,390,262,128,387,122
treatment,DataDog/integrations-core,2025-01,137,57,42,504,161,343,380,91
treatment,DataDog/integrations-core,2025-02,153,46,31,181,64,117,173,56
treatment,DataDog/integrations-core,2025-03,149,70,54,582,311,271,550,161
treatment,DataDog/integrations-core,2025-04,154,67,47,355,109,246,329,120
treatment,DataDog/integrations-core,2025-05,162,70,40,589,400,189,520,116
treatment,DataDog/integrations-core,2025-06,142,67,55,769,304,465,676,147
treatment,DataDog/integrations-core,2025-07,173,76,58,1196,341,855,1040,279
treatment,DataDog/integrations-core,2025-08,169,52,36,555,189,366,540,105
treatment,DataScienceUIBK/Rankify,2025-02,78,23,14,1674,1438,236,1438,182
treatment,DataScienceUIBK/Rankify,2025-03,44,21,13,70,34,36,57,16
treatment,DataScienceUIBK/Rankify,2025-04,20,13,9,17,0,17,13,10
treatment,DataScienceUIBK/Rankify,2025-05,31,22,21,117,83,34,88,32
treatment,DataScienceUIBK/Rankify,2025-06,50,43,38,468,271,197,329,70
treatment,DataScienceUIBK/Rankify,2025-07,4,4,4,45,6,39,43,17
treatment,DataScienceUIBK/Rankify,2025-08,24,21,13,57,3,54,39,18
treatment,Elevate-Code/better-voice-typing,2024-10,1,1,1,29,29,0,29,8
treatment,Elevate-Code/better-voice-typing,2024-11,12,9,9,119,52,67,78,13
treatment,Elevate-Code/better-voice-typing,2024-12,1,0,0,0,0,0,0,0
treatment,Elevate-Code/better-voice-typing,2025-01,1,1,1,2,1,1,2,1
treatment,Elevate-Code/better-voice-typing,2025-02,2,2,2,2,0,2,2,2
treatment,Elevate-Code/better-voice-typing,2025-03,5,3,3,14,5,9,12,4
treatment,Elevate-Code/better-voice-typing,2025-06,6,5,5,52,27,25,43,11
treatment,Elevate-Code/better-voice-typing,2025-07,7,5,4,25,8,17,23,6
treatment,Elevate-Code/better-voice-typing,2025-08,2,2,2,15,11,4,13,3
treatment,Hankanman/Area-Occupancy-Detection,2024-11,42,28,24,313,210,103,227,27
treatment,Hankanman/Area-Occupancy-Detection,2024-12,141,115,108,1508,591,917,588,37
treatment,Hankanman/Area-Occupancy-Detection,2025-02,7,7,7,94,42,52,88,15
treatment,Hankanman/Area-Occupancy-Detection,2025-03,7,6,6,111,19,92,74,11
treatment,Hankanman/Area-Occupancy-Detection,2025-04,78,45,41,677,244,433,340,33
treatment,Hankanman/Area-Occupancy-Detection,2025-05,17,11,9,94,39,55,87,16
treatment,Hankanman/Area-Occupancy-Detection,2025-06,119,109,99,3041,1522,1519,1615,67
treatment,Hankanman/Area-Occupancy-Detection,2025-07,110,93,80,1531,859,672,1022,35
treatment,Hankanman/Area-Occupancy-Detection,2025-08,49,39,33,801,367,434,616,33
treatment,Kiln-AI/Kiln,2024-08,158,80,64,262,137,125,159,32
treatment,Kiln-AI/Kiln,2024-09,56,44,43,250,133,117,149,21
treatment,Kiln-AI/Kiln,2024-10,297,122,108,1167,446,721,645,69
treatment,Kiln-AI/Kiln,2024-11,221,104,82,519,287,232,348,54
treatment,Kiln-AI/Kiln,2024-12,158,81,68,521,236,285,376,43
treatment,Kiln-AI/Kiln,2025-01,87,48,37,211,93,118,187,51
treatment,Kiln-AI/Kiln,2025-02,203,128,104,1086,493,593,694,87
treatment,Kiln-AI/Kiln,2025-03,156,84,71,420,170,250,290,50
treatment,Kiln-AI/Kiln,2025-04,92,52,37,218,100,118,149,29
treatment,Kiln-AI/Kiln,2025-05,154,62,54,269,97,172,210,53
treatment,Kiln-AI/Kiln,2025-06,280,175,153,1351,509,842,729,106
treatment,Kiln-AI/Kiln,2025-07,277,154,122,1232,737,495,791,98
treatment,Kiln-AI/Kiln,2025-08,333,188,151,1891,1068,823,1313,123
treatment,KroMiose/nekro-agent,2024-07,7,7,7,187,125,62,128,45
treatment,KroMiose/nekro-agent,2024-08,33,20,16,80,30,50,49,16
treatment,KroMiose/nekro-agent,2024-09,48,34,27,142,42,100,72,25
treatment,KroMiose/nekro-agent,2024-10,23,11,10,22,4,18,20,11
treatment,KroMiose/nekro-agent,2024-11,12,7,5,19,0,19,18,11
treatment,KroMiose/nekro-agent,2024-12,59,29,25,235,135,100,190,44
treatment,KroMiose/nekro-agent,2025-01,115,47,43,212,74,138,121,41
treatment,KroMiose/nekro-agent,2025-02,108,68,55,276,115,161,198,63
treatment,KroMiose/nekro-agent,2025-03,14,13,11,50,20,30,41,17
treatment,KroMiose/nekro-agent,2025-04,64,29,28,503,352,151,437,81
treatment,KroMiose/nekro-agent,2025-05,47,26,23,97,28,69,77,33
treatment,KroMiose/nekro-agent,2025-06,6,3,3,521,370,151,519,95
treatment,KroMiose/nekro-agent,2025-07,17,12,11,255,190,65,214,26
treatment,KroMiose/nekro-agent,2025-08,30,25,24,189,17,172,173,43
treatment,LearningCircuit/local-deep-research,2025-02,46,32,30,162,89,73,65,8
treatment,LearningCircuit/local-deep-research,2025-03,270,122,96,1210,701,509,749,97
treatment,LearningCircuit/local-deep-research,2025-04,137,97,91,532,162,370,284,64
treatment,LearningCircuit/local-deep-research,2025-05,137,92,72,614,332,282,460,108
treatment,LearningCircuit/local-deep-research,2025-06,218,141,114,3056,2006,1050,2233,300
treatment,LearningCircuit/local-deep-research,2025-07,183,126,118,2372,1172,1200,1769,300
treatment,LearningCircuit/local-deep-research,2025-08,265,202,182,1866,580,1286,1221,292
treatment,MDGrey33/pyvisionai,2024-11,14,8,7,38,31,7,35,8
treatment,MDGrey33/pyvisionai,2024-12,11,8,6,44,5,39,35,8
treatment,MDGrey33/pyvisionai,2025-01,104,66,56,418,267,151,299,71
treatment,MDGrey33/pyvisionai,2025-02,10,6,6,100,63,37,78,16
treatment,MDGrey33/pyvisionai,2025-06,2,2,2,95,56,39,95,10
treatment,MDGrey33/pyvisionai,2025-07,3,2,2,23,19,4,22,7
treatment,Mineru98/mysql-mcp-server,2025-03,60,17,15,66,43,23,46,23
treatment,Multi-V-VM/MVVM,2024-01,46,7,6,47,31,16,33,7
treatment,Multi-V-VM/MVVM,2024-02,48,24,23,269,113,156,145,20
treatment,Multi-V-VM/MVVM,2024-03,20,13,12,100,45,55,61,10
treatment,Multi-V-VM/MVVM,2024-04,9,6,6,77,62,15,71,7
treatment,Multi-V-VM/MVVM,2024-05,8,6,6,71,32,39,57,11
treatment,Multi-V-VM/MVVM,2024-12,9,6,5,77,50,27,67,14
treatment,Multi-V-VM/MVVM,2025-03,7,0,0,0,0,0,0,0
treatment,Multi-V-VM/MVVM,2025-06,3,0,0,0,0,0,0,0
treatment,Multi-V-VM/MVVM,2025-07,11,1,0,0,0,0,0,0
treatment,Ody-Z/Trading_Game_Simulator,2025-02,4,3,3,50,44,6,44,7
treatment,OpenMOSS/Language-Model-SAEs,2024-03,103,85,80,298,148,150,154,28
treatment,OpenMOSS/Language-Model-SAEs,2024-04,33,21,18,92,35,57,60,13
treatment,OpenMOSS/Language-Model-SAEs,2024-05,8,8,8,53,11,42,39,15
treatment,OpenMOSS/Language-Model-SAEs,2024-06,51,43,40,974,827,147,884,111
treatment,OpenMOSS/Language-Model-SAEs,2024-07,52,41,37,166,26,140,69,19
treatment,OpenMOSS/Language-Model-SAEs,2024-08,28,23,23,259,169,90,235,72
treatment,OpenMOSS/Language-Model-SAEs,2024-09,16,9,9,29,13,16,23,7
treatment,OpenMOSS/Language-Model-SAEs,2024-10,24,13,5,86,14,72,59,19
treatment,OpenMOSS/Language-Model-SAEs,2024-11,15,9,5,92,34,58,85,18
treatment,OpenMOSS/Language-Model-SAEs,2024-12,38,31,30,295,140,155,192,32
treatment,OpenMOSS/Language-Model-SAEs,2025-01,82,77,67,522,217,305,302,33
treatment,OpenMOSS/Language-Model-SAEs,2025-02,46,46,37,274,114,160,161,21
treatment,OpenMOSS/Language-Model-SAEs,2025-03,24,22,18,138,48,90,98,16
treatment,OpenMOSS/Language-Model-SAEs,2025-04,31,24,23,281,110,171,200,26
treatment,OpenMOSS/Language-Model-SAEs,2025-05,53,44,43,364,147,217,239,27
treatment,OpenMOSS/Language-Model-SAEs,2025-06,60,51,45,331,92,239,173,26
treatment,OpenMOSS/Language-Model-SAEs,2025-07,50,48,45,509,268,241,365,44
treatment,OpenMOSS/Language-Model-SAEs,2025-08,31,22,20,205,50,155,145,37
treatment,OpenSPP/openspp-modules,2024-01,59,48,30,66,50,16,66,62
treatment,OpenSPP/openspp-modules,2024-02,108,65,40,266,102,164,219,94
treatment,OpenSPP/openspp-modules,2024-03,73,55,27,101,69,32,83,23
treatment,OpenSPP/openspp-modules,2024-04,114,97,58,505,431,74,448,91
treatment,OpenSPP/openspp-modules,2024-05,154,31,20,120,61,59,110,50
treatment,OpenSPP/openspp-modules,2024-06,18,9,9,35,16,19,35,12
treatment,OpenSPP/openspp-modules,2024-07,60,31,25,128,103,25,124,39
treatment,OpenSPP/openspp-modules,2024-08,183,70,43,125,33,92,97,40
treatment,OpenSPP/openspp-modules,2024-09,138,93,65,262,187,75,189,53
treatment,OpenSPP/openspp-modules,2024-10,151,119,91,333,176,157,223,57
treatment,OpenSPP/openspp-modules,2024-11,136,44,29,376,315,61,342,55
treatment,OpenSPP/openspp-modules,2024-12,46,27,15,75,60,15,69,23
treatment,OpenSPP/openspp-modules,2025-01,63,44,29,118,84,34,102,30
treatment,OpenSPP/openspp-modules,2025-02,110,62,53,341,231,110,276,50
treatment,OpenSPP/openspp-modules,2025-03,32,12,6,86,83,3,85,13
treatment,OpenSPP/openspp-modules,2025-04,21,2,1,1,0,1,1,1
treatment,OpenSPP/openspp-modules,2025-05,31,23,13,44,25,19,37,11
treatment,OpenSPP/openspp-modules,2025-06,4,1,0,0,0,0,0,0
treatment,OpenSPP/openspp-modules,2025-07,4,4,2,28,11,17,28,4
treatment,OpenSPP/openspp-modules,2025-08,17,9,6,108,64,44,64,9
treatment,PiotrCzapla/smart_dictation,2024-10,6,6,6,80,63,17,68,12
treatment,PostHog/posthog,2024-01,443,129,119,1058,370,688,837,202
treatment,PostHog/posthog,2024-02,430,179,165,1570,769,801,1260,264
treatment,PostHog/posthog,2024-03,399,174,157,1388,498,890,1151,263
treatment,PostHog/posthog,2024-04,505,220,199,3432,559,2873,2593,628
treatment,PostHog/posthog,2024-05,456,222,200,2497,908,1589,1764,352
treatment,PostHog/posthog,2024-06,493,249,229,4097,964,3133,2267,424
treatment,PostHog/posthog,2024-07,581,282,240,2063,757,1306,1461,292
treatment,PostHog/posthog,2024-08,400,178,162,1603,484,1119,1206,273
treatment,PostHog/posthog,2024-09,393,177,159,1212,668,544,1061,297
treatment,PostHog/posthog,2024-10,446,233,207,1978,821,1157,1567,353
treatment,PostHog/posthog,2024-11,426,203,179,1950,885,1065,1423,345
treatment,PostHog/posthog,2024-12,439,234,209,2312,1049,1263,1854,367
treatment,PostHog/posthog,2025-01,725,338,300,2524,983,1541,1984,367
treatment,PostHog/posthog,2025-02,897,354,313,2488,988,1500,1965,409
treatment,PostHog/posthog,2025-03,942,424,377,2919,1205,1714,2269,487
treatment,PostHog/posthog,2025-04,880,376,333,2627,1187,1440,2162,460
treatment,PostHog/posthog,2025-05,748,320,288,2221,1159,1062,1826,424
treatment,PostHog/posthog,2025-06,1043,465,404,3720,1721,1999,2886,568
treatment,PostHog/posthog,2025-07,1143,527,487,5779,3005,2774,4658,775
treatment,PostHog/posthog,2025-08,990,484,412,5198,2923,2275,4321,793
treatment,ResearchHub/researchhub-backend,2024-01,12,12,12,227,146,81,210,76
treatment,ResearchHub/researchhub-backend,2024-02,29,29,29,210,97,113,118,29
treatment,ResearchHub/researchhub-backend,2024-03,142,86,67,188,68,120,125,42
treatment,ResearchHub/researchhub-backend,2024-04,134,111,61,142,59,83,108,42
treatment,ResearchHub/researchhub-backend,2024-05,127,102,72,209,73,136,110,38
treatment,ResearchHub/researchhub-backend,2024-06,62,46,32,101,31,70,68,29
treatment,ResearchHub/researchhub-backend,2024-07,242,206,160,591,175,416,258,58
treatment,ResearchHub/researchhub-backend,2024-08,211,173,114,425,90,335,269,90
treatment,ResearchHub/researchhub-backend,2024-09,133,121,77,211,57,154,130,46
treatment,ResearchHub/researchhub-backend,2024-10,182,153,103,237,74,163,135,51
treatment,ResearchHub/researchhub-backend,2024-11,179,151,79,220,96,124,148,50
treatment,ResearchHub/researchhub-backend,2024-12,94,79,51,153,34,119,107,33
treatment,ResearchHub/researchhub-backend,2025-01,112,107,72,298,142,156,227,67
treatment,ResearchHub/researchhub-backend,2025-02,145,133,96,292,143,149,202,64
treatment,ResearchHub/researchhub-backend,2025-03,204,195,150,564,225,339,378,96
treatment,ResearchHub/researchhub-backend,2025-04,176,173,139,442,189,253,259,61
treatment,ResearchHub/researchhub-backend,2025-05,157,148,110,604,345,259,474,101
treatment,ResearchHub/researchhub-backend,2025-06,184,175,135,456,191,265,312,81
treatment,ResearchHub/researchhub-backend,2025-07,118,103,84,382,216,166,295,63
treatment,ResearchHub/researchhub-backend,2025-08,285,218,123,507,261,246,380,89
treatment,Scrapybara/codecapy,2025-01,7,6,6,41,30,11,30,8
treatment,Scrapybara/codecapy,2025-02,28,16,15,82,38,44,41,9
treatment,SlyyCooper/cursorrules-architect,2024-11,2,1,1,12,12,0,12,1
treatment,SlyyCooper/cursorrules-architect,2024-12,3,2,2,46,46,0,46,6
treatment,SlyyCooper/cursorrules-architect,2025-01,1,1,1,7,1,6,7,3
treatment,SlyyCooper/cursorrules-architect,2025-02,1,1,1,11,0,11,11,3
treatment,SlyyCooper/cursorrules-architect,2025-03,4,4,4,199,140,59,160,42
treatment,SlyyCooper/cursorrules-architect,2025-04,2,2,1,7,3,4,7,4
treatment,TextGeneratorio/text-generator.io,2024-01,3,3,3,8,3,5,7,4
treatment,TextGeneratorio/text-generator.io,2024-02,3,0,0,0,0,0,0,0
treatment,TextGeneratorio/text-generator.io,2024-05,9,2,2,5,2,3,5,2
treatment,TextGeneratorio/text-generator.io,2024-07,2,2,2,8,0,8,8,3
treatment,TextGeneratorio/text-generator.io,2024-08,20,11,8,23,15,8,16,5
treatment,TextGeneratorio/text-generator.io,2024-11,4,3,2,9,6,3,8,4
treatment,TextGeneratorio/text-generator.io,2024-12,5,3,2,6,1,5,5,3
treatment,TextGeneratorio/text-generator.io,2025-01,10,7,6,82,74,8,81,8
treatment,TextGeneratorio/text-generator.io,2025-02,3,1,1,1,1,0,1,1
treatment,TextGeneratorio/text-generator.io,2025-03,2,0,0,0,0,0,0,0
treatment,TextGeneratorio/text-generator.io,2025-04,15,6,6,50,36,14,46,6
treatment,TextGeneratorio/text-generator.io,2025-05,13,10,7,15,8,7,15,5
treatment,TextGeneratorio/text-generator.io,2025-06,8,8,6,55,49,6,52,19
treatment,TextGeneratorio/text-generator.io,2025-07,31,21,18,461,352,109,392,68
treatment,TextGeneratorio/text-generator.io,2025-08,5,5,4,29,16,13,28,7
treatment,The-Pocket/PocketFlow,2024-12,82,27,24,571,355,216,347,11
treatment,The-Pocket/PocketFlow,2025-01,121,5,2,4,0,4,4,2
treatment,The-Pocket/PocketFlow,2025-02,60,1,1,1,0,1,1,1
treatment,The-Pocket/PocketFlow,2025-03,226,31,25,391,369,22,369,108
treatment,The-Pocket/PocketFlow,2025-04,44,22,19,234,197,37,219,42
treatment,The-Pocket/PocketFlow,2025-05,45,29,26,201,172,29,181,49
treatment,The-Pocket/PocketFlow,2025-06,8,3,2,78,78,0,78,12
treatment,The-Pocket/PocketFlow,2025-07,11,5,3,79,0,79,39,1
treatment,The-Pocket/PocketFlow,2025-08,3,1,1,4,1,3,4,2
treatment,The-Pocket/PocketFlow-Template-Python,2025-02,7,3,2,5,5,0,5,3
treatment,The-Pocket/PocketFlow-Template-Python,2025-03,24,2,1,6,6,0,6,2
treatment,The-Pocket/PocketFlow-Template-Python,2025-04,1,0,0,0,0,0,0,0
treatment,The-Pocket/PocketFlow-Template-Python,2025-05,4,2,2,2,0,2,2,2
treatment,The-Pocket/PocketFlow-Template-Python,2025-06,3,0,0,0,0,0,0,0
treatment,The-Pocket/PocketFlow-Template-Python,2025-07,2,0,0,0,0,0,0,0
treatment,The-Pocket/PocketFlow-Template-Python,2025-08,2,0,0,0,0,0,0,0
treatment,The-Pocket/Tutorial-AI-Paul-Graham,2025-02,11,5,5,24,18,6,18,4
treatment,The-Pocket/Tutorial-AI-Paul-Graham,2025-03,12,1,1,50,49,1,50,10
treatment,The-Pocket/Tutorial-Cold-Email-Personalization,2025-03,8,3,3,27,24,3,24,7
treatment,The-Pocket/Tutorial-Cursor,2025-03,24,4,4,53,49,4,49,11
treatment,TheSethRose/Agent-Chat,2024-10,7,4,4,30,17,13,17,4
treatment,ToolUse/infinite-ai-seo,2025-02,7,4,4,102,54,48,54,7
treatment,ToolUse/tool-use-ai,2024-09,1,1,1,1,1,0,1,1
treatment,ToolUse/tool-use-ai,2024-10,24,17,16,149,103,46,104,19
treatment,ToolUse/tool-use-ai,2024-11,21,7,7,38,26,12,34,5
treatment,ToolUse/tool-use-ai,2024-12,4,1,1,19,17,2,19,3
treatment,ToolUse/tool-use-ai,2025-04,1,1,1,1,0,1,1,1
treatment,VRSEN/agency-swarm,2024-01,66,53,46,219,71,148,114,37
treatment,VRSEN/agency-swarm,2024-02,46,33,30,124,30,94,80,26
treatment,VRSEN/agency-swarm,2024-03,38,34,31,215,95,120,121,55
treatment,VRSEN/agency-swarm,2024-04,31,24,21,169,39,130,103,43
treatment,VRSEN/agency-swarm,2024-05,50,43,38,138,29,109,85,26
treatment,VRSEN/agency-swarm,2024-06,5,5,5,6,0,6,5,2
treatment,VRSEN/agency-swarm,2024-07,30,22,22,83,12,71,44,10
treatment,VRSEN/agency-swarm,2024-08,34,34,29,95,9,86,61,26
treatment,VRSEN/agency-swarm,2024-09,6,5,2,3,0,3,3,2
treatment,VRSEN/agency-swarm,2024-10,13,10,9,15,3,12,10,5
treatment,VRSEN/agency-swarm,2024-11,57,11,10,88,22,66,59,17
treatment,VRSEN/agency-swarm,2024-12,12,7,4,6,2,4,6,3
treatment,VRSEN/agency-swarm,2025-01,2,2,1,2,0,2,2,1
treatment,VRSEN/agency-swarm,2025-02,33,8,7,28,3,25,21,8
treatment,VRSEN/agency-swarm,2025-03,23,13,12,191,137,54,178,24
treatment,VRSEN/agency-swarm,2025-04,39,27,20,134,69,65,97,16
treatment,VRSEN/agency-swarm,2025-05,77,46,43,785,534,251,563,63
treatment,VRSEN/agency-swarm,2025-06,156,115,106,758,353,405,481,84
treatment,VRSEN/agency-swarm,2025-07,92,73,64,509,240,269,380,76
treatment,VRSEN/agency-swarm,2025-08,237,208,187,1180,518,662,692,132
treatment,VRSEN/agency-swarm-memory-demo,2025-02,12,7,6,21,9,12,14,13
treatment,VRSEN/agency-voice-interface,2024-10,54,44,39,317,218,99,245,83
treatment,VRSEN/agency-voice-interface,2024-11,1,0,0,0,0,0,0,0
treatment,VRSEN/agency-voice-interface,2025-01,2,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-03,166,1,1,1,1,0,1,1
treatment,W1ndys/Blog,2024-04,142,5,4,4,0,4,1,1
treatment,W1ndys/Blog,2024-05,67,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-06,45,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-07,66,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-08,33,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-09,40,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-10,15,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-11,13,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2024-12,18,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2025-01,109,10,9,17,9,8,9,4
treatment,W1ndys/Blog,2025-02,12,1,1,1,0,1,1,1
treatment,W1ndys/Blog,2025-03,3,1,0,0,0,0,0,0
treatment,W1ndys/Blog,2025-04,15,0,0,0,0,0,0,0
treatment,W1ndys/Blog,2025-05,18,4,1,1,1,0,1,1
treatment,W1ndys/Blog,2025-06,3,0,0,0,0,0,0,0
treatment,WangQrkkk/ThinkingCursor,2025-01,2,1,1,3,3,0,3,1
treatment,WangQrkkk/ThinkingCursor,2025-02,3,2,2,2,0,2,1,1
treatment,airweave-ai/airweave,2024-12,25,12,11,349,223,126,224,58
treatment,airweave-ai/airweave,2025-01,147,81,64,506,282,224,327,69
treatment,airweave-ai/airweave,2025-02,148,85,72,702,368,334,461,90
treatment,airweave-ai/airweave,2025-03,123,59,52,471,220,251,369,93
treatment,airweave-ai/airweave,2025-04,277,163,134,814,462,352,545,104
treatment,airweave-ai/airweave,2025-05,186,107,94,814,339,475,608,147
treatment,airweave-ai/airweave,2025-06,105,72,64,1212,468,744,842,130
treatment,airweave-ai/airweave,2025-07,171,116,101,916,348,568,554,115
treatment,airweave-ai/airweave,2025-08,247,154,143,3091,943,2148,1400,219
treatment,allthingslinux/tux,2024-01,69,54,43,260,164,96,176,42
treatment,allthingslinux/tux,2024-03,85,61,46,294,141,153,190,46
treatment,allthingslinux/tux,2024-04,157,120,106,792,465,327,511,74
treatment,allthingslinux/tux,2024-05,51,32,28,196,61,135,156,29
treatment,allthingslinux/tux,2024-06,82,57,48,221,129,92,160,29
treatment,allthingslinux/tux,2024-07,149,98,80,848,304,544,415,70
treatment,allthingslinux/tux,2024-08,277,172,153,525,137,388,281,62
treatment,allthingslinux/tux,2024-09,230,178,150,825,159,666,410,81
