treatment_repo,treatment_clone_dir_name,treatment_clone_path,treatment_is_git_repository,matched_period,propensity_score,original_matched_control_count,control_rank,control_repo,control_clone_found,control_clone_dir_name,control_clone_path,control_is_git_repository,pair_status
ericyuegu/hal,ericyuegu_hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,True,202501,0.0752835910159034,3,1,MIT-Emerging-Talent/ET6-edXtras,True,MIT-Emerging-Talent_ET6-edXtras,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,True,aligned
ericyuegu/hal,ericyuegu_hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,True,202501,0.0752835910159034,3,2,LuneMods/KCD2-Blender-Toolkit,True,LuneMods_KCD2-Blender-Toolkit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,True,aligned
ericyuegu/hal,ericyuegu_hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,True,202501,0.0752835910159034,3,3,ninareyes1/Simple-Digital-Clock,True,ninareyes1_Simple-Digital-Clock,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,True,aligned
ericzakariasson/uber-eats-mcp-server,ericzakariasson_uber-eats-mcp-server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericzakariasson_uber-eats-mcp-server,True,202502,0.0740099640284197,3,1,aws/nova-act,True,aws_nova-act,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws_nova-act,True,aligned
ericzakariasson/uber-eats-mcp-server,ericzakariasson_uber-eats-mcp-server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericzakariasson_uber-eats-mcp-server,True,202502,0.0740099640284197,3,2,cyb3rfortr3ss/ByDeF,True,cyb3rfortr3ss_ByDeF,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/cyb3rfortr3ss_ByDeF,True,aligned
ericzakariasson/uber-eats-mcp-server,ericzakariasson_uber-eats-mcp-server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericzakariasson_uber-eats-mcp-server,True,202502,0.0740099640284197,3,3,vonssy/DreamerQuests-BOT,True,vonssy_DreamerQuests-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_DreamerQuests-BOT,True,aligned
ethyca/fides,ethyca_fides,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethyca_fides,True,202502,0.7723302073434133,3,1,microsoft/semantic-link-labs,True,microsoft_semantic-link-labs,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_semantic-link-labs,True,aligned
ethyca/fides,ethyca_fides,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethyca_fides,True,202502,0.7723302073434133,3,2,lancedb/lancedb,True,lancedb_lancedb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,True,aligned
ethyca/fides,ethyca_fides,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethyca_fides,True,202502,0.7723302073434133,3,3,pieces-app/cli-agent,True,pieces-app_cli-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,True,aligned
ezyang/codemcp,ezyang_codemcp,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ezyang_codemcp,True,202502,0.0740099640284197,3,1,aws/nova-act,True,aws_nova-act,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws_nova-act,True,aligned
ezyang/codemcp,ezyang_codemcp,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ezyang_codemcp,True,202502,0.0740099640284197,3,2,cyb3rfortr3ss/ByDeF,True,cyb3rfortr3ss_ByDeF,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/cyb3rfortr3ss_ByDeF,True,aligned
ezyang/codemcp,ezyang_codemcp,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ezyang_codemcp,True,202502,0.0740099640284197,3,3,vonssy/DreamerQuests-BOT,True,vonssy_DreamerQuests-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_DreamerQuests-BOT,True,aligned
gerred/mcp-server-replicate,gerred_mcp-server-replicate,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,True,202412,0.0436832021199089,3,1,ali-bahrainian/RAG_best_practices,True,ali-bahrainian_RAG_best_practices,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ali-bahrainian_RAG_best_practices,True,aligned
gerred/mcp-server-replicate,gerred_mcp-server-replicate,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,True,202412,0.0436832021199089,3,2,MrTimonM/Arichain-Bot,True,MrTimonM_Arichain-Bot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,True,aligned
