repo_name,source_group,exact_commit_rows,sum_abs_diff_ncloc,median_abs_diff_ncloc,max_abs_diff_ncloc,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_abs_diff_duplicated_lines_density,median_abs_diff_duplicated_lines_density,max_abs_diff_duplicated_lines_density,sum_abs_diff_comment_lines_density,median_abs_diff_comment_lines_density,max_abs_diff_comment_lines_density,sum_abs_diff_cognitive_complexity,median_abs_diff_cognitive_complexity,max_abs_diff_cognitive_complexity,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings
OpenMOSS/Language-Model-SAEs,treatment,14,340.0,18.0,40.0,109.0,3.0,23.0,47.0,3.5,8.0,975.0,53.0,137.0,0.0,0.0,0.0,0.09999999999999964,0.0,0.09999999999999964,0.0,0.0,0.0,4279.0,204.0,663.0,913.0,46.5,139.0
namuan/trading-utils,treatment,13,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,870.0,51.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4220.0,245.0,830.0,885.0,51.0,175.0
panther-labs/panther-analysis,treatment,20,98.0,0.0,98.0,0.0,0.0,0.0,20.0,1.0,1.0,709.0,29.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,648.0,36.0,46.0,729.0,30.0,52.0
tmux-python/tmuxp,treatment,20,0.0,0.0,0.0,340.0,17.0,17.0,0.0,0.0,0.0,387.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.0,166.0,237.0,727.0,33.0,46.0
osomai/servicenow-mcp,treatment,5,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,698.0,140.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.0,670.0,725.0,709.0,151.0,151.0
ResearchHub/researchhub-backend,treatment,20,3159.0,6.0,3061.0,20.0,1.0,1.0,614.0,29.0,37.0,1222.0,63.5,107.0,0.20000000000000018,0.0,0.20000000000000018,0.4999999999999991,0.0,0.39999999999999947,88.0,0.0,88.0,3511.0,181.5,381.0,650.0,34.5,72.0
leettools-dev/leettools,treatment,5,0.0,0.0,0.0,22.0,3.0,7.0,16.0,4.0,4.0,647.0,206.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684.0,866.0,892.0,641.0,207.0,211.0
microsoft/semantic-link-labs,control,15,6804.0,480.0,953.0,7.0,0.0,4.0,0.0,0.0,0.0,620.0,41.0,63.0,0.10000000000000009,0.0,0.10000000000000009,5.0000000000000036,0.3000000000000007,0.5,873.0,56.0,88.0,3015.0,200.0,312.0,623.0,43.0,63.0
tw-haiven/haiven,treatment,17,553.0,4.0,456.0,68.0,4.0,7.0,53.0,2.0,5.0,608.0,26.0,83.0,1.1,0.0,0.40000000000000036,0.1999999999999993,0.0,0.1999999999999993,7.0,0.0,7.0,3092.0,122.0,511.0,601.0,26.0,79.0
PromtEngineer/localGPT,control,10,40526.0,4486.0,4524.0,29.0,3.0,3.0,8.0,1.0,1.0,566.0,59.0,77.0,0.0,0.0,0.0,2.6,0.2999999999999998,0.30000000000000027,0.0,0.0,0.0,1861.0,191.0,281.0,599.0,63.0,80.0
wdm0006/pygeohash,treatment,8,4.0,0.5,1.0,71.0,11.5,16.0,120.0,15.0,30.0,341.0,41.5,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,69.0,158.0,404.0,52.0,100.0
Aronnaxx/Behold-Urwar-Droid-Concepts,treatment,4,20.0,5.0,5.0,12.0,3.0,3.0,52.0,13.0,13.0,330.0,82.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.0,417.0,417.0,394.0,98.0,100.0
pieces-app/cli-agent,control,20,748.0,0.0,748.0,5.0,0.0,3.0,5.0,0.0,1.0,383.0,11.0,55.0,0.0,0.0,0.0,1.5999999999999979,0.0,1.5999999999999979,188.0,0.0,188.0,1547.0,68.0,196.0,391.0,11.0,59.0
Jieqianyu/SGN,control,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,382.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,960.0,960.0,386.0,193.0,193.0
