dataset_source,repo_name,time,npr_agc_regular_module_function_unique_bodies
treatment,VRSEN/agency-swarm,2025-08,3
treatment,VRSEN/agency-voice-interface,2024-10,2
treatment,airweave-ai/airweave,2024-12,3
treatment,airweave-ai/airweave,2025-01,2
treatment,airweave-ai/airweave,2025-02,6
treatment,airweave-ai/airweave,2025-03,4
treatment,airweave-ai/airweave,2025-04,1
treatment,airweave-ai/airweave,2025-05,8
treatment,airweave-ai/airweave,2025-06,4
treatment,airweave-ai/airweave,2025-07,5
treatment,airweave-ai/airweave,2025-08,6
treatment,allthingslinux/tux,2024-04,2
treatment,allthingslinux/tux,2024-05,1
treatment,allthingslinux/tux,2024-07,2
treatment,allthingslinux/tux,2024-08,1
treatment,allthingslinux/tux,2024-09,2
treatment,allthingslinux/tux,2024-10,1
treatment,allthingslinux/tux,2025-02,3
treatment,allthingslinux/tux,2025-03,1
treatment,allthingslinux/tux,2025-04,7
treatment,allthingslinux/tux,2025-06,11
treatment,allthingslinux/tux,2025-08,12
treatment,appl-team/appl,2024-05,6
treatment,appl-team/appl,2024-09,1
treatment,appl-team/appl,2024-12,6
treatment,askjohngeorge/pipecat-lead-qualifier,2025-02,1
treatment,codingforentrepreneurs/Cursor-Django,2024-10,6
treatment,cohnen/mcp-google-ads,2025-04,2
treatment,daojiAnime/vmq-fastapi,2025-01,12
treatment,daojiAnime/vmq-fastapi,2025-02,4
treatment,ericmjl/llamabot,2024-01,1
treatment,ericmjl/llamabot,2024-03,1
treatment,ericmjl/llamabot,2024-10,4
treatment,ericmjl/llamabot,2024-11,4
treatment,ericmjl/llamabot,2024-12,1
treatment,ericmjl/llamabot,2025-01,3
treatment,ericmjl/llamabot,2025-02,1
treatment,ericmjl/llamabot,2025-05,4
treatment,ericmjl/llamabot,2025-07,13
treatment,ericmjl/llamabot,2025-08,8
treatment,ericmjl/pyds-cli,2024-03,3
treatment,ericmjl/pyds-cli,2024-11,1
treatment,ericyuegu/hal,2024-05,1
treatment,ericyuegu/hal,2024-06,2
treatment,ericyuegu/hal,2024-07,9
treatment,ericyuegu/hal,2024-09,4
treatment,ericyuegu/hal,2024-10,1
treatment,ericyuegu/hal,2024-11,2
treatment,ericyuegu/hal,2024-12,1
treatment,ericyuegu/hal,2025-02,6
treatment,ethyca/fides,2024-02,1
treatment,ethyca/fides,2024-04,3
treatment,ethyca/fides,2024-05,6
treatment,ethyca/fides,2024-06,1
treatment,ethyca/fides,2024-07,3
treatment,ethyca/fides,2024-08,2
treatment,ethyca/fides,2024-09,1
treatment,ethyca/fides,2024-10,2
treatment,ethyca/fides,2024-11,2
treatment,ethyca/fides,2024-12,2
treatment,ethyca/fides,2025-01,3
treatment,ethyca/fides,2025-02,3
treatment,ethyca/fides,2025-03,16
treatment,ethyca/fides,2025-04,3
treatment,ethyca/fides,2025-05,1
treatment,ethyca/fides,2025-06,5
treatment,ethyca/fides,2025-07,7
treatment,ethyca/fides,2025-08,5
treatment,ezyang/codemcp,2025-03,25
treatment,ezyang/codemcp,2025-04,1
treatment,ezyang/codemcp,2025-05,3
treatment,gerred/mcp-server-replicate,2025-01,4
treatment,getsentry/sentry,2024-01,9
treatment,getsentry/sentry,2024-02,32
treatment,getsentry/sentry,2024-03,4
treatment,getsentry/sentry,2024-04,9
treatment,getsentry/sentry,2024-05,9
treatment,getsentry/sentry,2024-06,4
treatment,getsentry/sentry,2024-07,6
treatment,getsentry/sentry,2024-08,2
treatment,getsentry/sentry,2024-09,3
treatment,getsentry/sentry,2024-10,2
treatment,getsentry/sentry,2024-11,4
treatment,getsentry/sentry,2024-12,6
treatment,getsentry/sentry,2025-01,9
treatment,getsentry/sentry,2025-02,10
treatment,getsentry/sentry,2025-03,6
treatment,getsentry/sentry,2025-04,11
treatment,getsentry/sentry,2025-05,5
treatment,getsentry/sentry,2025-06,7
treatment,getsentry/sentry,2025-07,29
treatment,getsentry/sentry,2025-08,18
treatment,grapeot/web_agentic_ai,2025-02,11
treatment,grapeot/web_agentic_ai,2025-03,1
treatment,hyperb1iss/droidmind,2025-03,13
treatment,hyperb1iss/droidmind,2025-05,3
treatment,ilanbenb/wa_llm,2025-01,5
treatment,ilanbenb/wa_llm,2025-02,1
treatment,instructor-ai/instructor,2024-01,1
treatment,instructor-ai/instructor,2024-02,1
treatment,instructor-ai/instructor,2024-04,3
treatment,instructor-ai/instructor,2024-05,2
treatment,instructor-ai/instructor,2024-06,1
treatment,instructor-ai/instructor,2024-08,1
treatment,instructor-ai/instructor,2024-09,2
treatment,instructor-ai/instructor,2024-10,7
treatment,instructor-ai/instructor,2025-03,1
treatment,instructor-ai/instructor,2025-05,2
treatment,instructor-ai/instructor,2025-06,7
treatment,instructor-ai/instructor,2025-07,3
treatment,keephq/keep,2024-01,4
treatment,keephq/keep,2024-02,5
treatment,keephq/keep,2024-03,1
treatment,keephq/keep,2024-04,2
treatment,keephq/keep,2024-06,7
treatment,keephq/keep,2024-07,7
treatment,keephq/keep,2024-08,9
treatment,keephq/keep,2024-09,21
treatment,keephq/keep,2024-10,6
treatment,keephq/keep,2024-11,8
treatment,keephq/keep,2024-12,9
treatment,keephq/keep,2025-01,4
treatment,keephq/keep,2025-02,8
treatment,keephq/keep,2025-03,19
treatment,keephq/keep,2025-04,5
treatment,keephq/keep,2025-05,4
treatment,keephq/keep,2025-06,1
treatment,keephq/keep,2025-07,1
treatment,leettools-dev/leettools,2024-12,22
treatment,leettools-dev/leettools,2025-01,7
treatment,leettools-dev/leettools,2025-02,3
treatment,leettools-dev/leettools,2025-03,3
treatment,leettools-dev/leettools,2025-04,1
treatment,lss233/kirara-ai,2024-12,1
treatment,lss233/kirara-ai,2025-02,3
treatment,lss233/kirara-ai,2025-03,6
treatment,lss233/kirara-ai,2025-04,3
