source_group,repo_name,time,metric,row_overlap_status,commit_match_status,commit_equal_or_prefix,paper_latest_commit,our_latest_commit,paper_value,our_value,diff,abs_diff,ncloc_scope_status,cause_category
control,jacebrowning/datafiles,2024-04,static_analysis_warnings,both,paper_commit_missing,False,,fc623e81f9e7476938a04e191b471aa90dc11d76,595.0,43.0,-552.0,552.0,unknown,paper_commit_missing
control,PennyLaneAI/catalyst,2025-08,static_analysis_warnings,both,exact_match,True,0150699ff9adda89142bf65e2600619d61f6d55a,0150699ff9adda89142bf65e2600619d61f6d55a,715.0,300.0,-415.0,415.0,ncloc_identical,rule_config_analyzer_profile_signal
control,PennyLaneAI/catalyst,2025-07,static_analysis_warnings,both,mismatch,False,0aa4fab8450c1c8f0d5baeeb48b8cef919b155f5,4f4b01a142d5224279c4d0fcd6b944fcc80b343b,702.0,302.0,-400.0,400.0,unknown,commit_selection_difference
control,PennyLaneAI/catalyst,2025-06,static_analysis_warnings,both,exact_match,True,f43af48a983a734ca863a04362b99176d506bcb8,f43af48a983a734ca863a04362b99176d506bcb8,703.0,304.0,-399.0,399.0,ncloc_identical,rule_config_analyzer_profile_signal
control,PennyLaneAI/catalyst,2025-05,static_analysis_warnings,both,exact_match,True,06db0834814629bbac4bea9188101898cc4b0a91,06db0834814629bbac4bea9188101898cc4b0a91,676.0,297.0,-379.0,379.0,ncloc_identical,rule_config_analyzer_profile_signal
control,PennyLaneAI/catalyst,2025-08,code_smells,both,exact_match,True,0150699ff9adda89142bf65e2600619d61f6d55a,0150699ff9adda89142bf65e2600619d61f6d55a,665.0,291.0,-374.0,374.0,ncloc_identical,rule_config_analyzer_profile_signal
control,PennyLaneAI/catalyst,2025-04,static_analysis_warnings,both,exact_match,True,6b142ed845381abc56f14054aa2abaec7e34b6c7,6b142ed845381abc56f14054aa2abaec7e34b6c7,668.0,296.0,-372.0,372.0,ncloc_close,source_scope_difference_or_mixed
control,PennyLaneAI/catalyst,2025-03,static_analysis_warnings,both,exact_match,True,d5329df09ed618392f858c17160e1d7833a2588c,d5329df09ed618392f858c17160e1d7833a2588c,655.0,292.0,-363.0,363.0,ncloc_identical,rule_config_analyzer_profile_signal
control,PennyLaneAI/catalyst,2025-07,code_smells,both,mismatch,False,0aa4fab8450c1c8f0d5baeeb48b8cef919b155f5,4f4b01a142d5224279c4d0fcd6b944fcc80b343b,655.0,293.0,-362.0,362.0,unknown,commit_selection_difference
control,VirtualFlow/VFVS,2024-01,static_analysis_warnings,both,exact_match,True,408299a0f106a08fa1792c63b3699453329cc2d6,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,ncloc_different,source_scope_difference_or_mixed
control,VirtualFlow/VFVS,2024-02,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-03,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-04,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-05,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-06,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-07,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-08,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-09,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-10,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-11,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2024-12,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2025-01,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2025-02,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2025-03,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
control,VirtualFlow/VFVS,2025-04,static_analysis_warnings,both,paper_commit_missing,False,,408299a0f106a08fa1792c63b3699453329cc2d6,400.0,38.0,-362.0,362.0,unknown,paper_commit_missing
