source_group,repo_name,time,paper_latest_commit,paper_ncloc,paper_bugs,paper_vulnerabilities,paper_code_smells,paper_duplicated_lines_density,paper_comment_lines_density,paper_cognitive_complexity,paper_technical_debt,paper_static_analysis_warnings,our_latest_commit,our_ncloc,our_bugs,our_vulnerabilities,our_code_smells,our_duplicated_lines_density,our_comment_lines_density,our_cognitive_complexity,our_technical_debt,our_static_analysis_warnings,row_overlap_status,commit_match_status,commit_equal_or_prefix,diff_ncloc,abs_diff_ncloc,diff_bugs,abs_diff_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,diff_code_smells,abs_diff_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings
control,FaceAdapter/Face-Adapter,2025-04,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-05,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-06,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-07,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-08,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-01,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-02,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-03,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-04,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-05,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-06,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-07,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FlipperPA/peregrine,2025-08,,,,,,,,,,,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,1427.0,5.0,0.0,7.0,11.2,5.2,8.0,35.0,12.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FolhaSP/mosaico,2025-08,,,,,,,,,,,b3c2a5e6ed21ebdabf955c519d66a458c2bd08e4,6585.0,1.0,0.0,12.0,2.1,22.0,571.0,139.0,13.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-04,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-05,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-06,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-07,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-08,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-09,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-10,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-11,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2024-12,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2025-01,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2025-02,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2025-03,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2025-04,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2025-05,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,GispoCoding/qgis-venv-creator,2025-06,,,,,,,,,,,da97781d79749fa683611204606b94966dfbc799,513.0,0.0,0.0,1.0,0.0,11.4,66.0,8.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
