target_id,variant,source_group,repo_name,time,path_bucket,component_path,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/cdp/services/hog-executor.service.ts,CODE_SMELL,0,26,26,-26,26
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-TI4EEUUG.mjs,CODE_SMELL,0,25,25,-25,25
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/catch2.js,CODE_SMELL,0,25,25,-25,25
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/keysValues.js,CODE_SMELL,0,25,25,-25,25
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/lemon-ui/LemonTree/LemonTree.tsx,CODE_SMELL,0,25,25,-25,25
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/arrays.js,CODE_SMELL,0,24,24,-24,24
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/billing/billing-utils.ts,CODE_SMELL,0,24,24,-24,24
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/billing/billingLogic.tsx,CODE_SMELL,0,24,24,-24,24
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/catch.js,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/lambdas.js,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/properties.js,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/sql.js,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/strings.js,CODE_SMELL,0,23,23,-23,23
