repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence
DataScienceUIBK/Rankify,2025-08,1,2025-03,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,40,3130,2648080,4,7.0,0.0,1.0,172.0,30093.0,17.0,30.0,920.0,8.0,25.3,5654.0,5563.0,,,,treatment,False,False
Elevate-Code/better-voice-typing,2024-10,1,2024-10,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,1,0,0,1,0.0,0.0,0.0,0.0,305.0,0.0,0.0,1.0,0.0,19.7,48.0,20.0,,,,treatment,False,True
Elevate-Code/better-voice-typing,2024-11,1,2024-10,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,12,2001,1726,1,4.0,0.0,0.0,0.0,1112.0,0.0,0.0,12.0,0.0,17.6,276.0,124.0,,,,treatment,False,True
Elevate-Code/better-voice-typing,2024-12,1,2024-10,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,1,1,0,1,4.0,0.0,0.0,18.0,1112.0,0.0,0.0,12.0,0.0,17.6,276.0,124.0,,,,treatment,False,False
Elevate-Code/better-voice-typing,2025-01,1,2024-10,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,1,52,7,1,7.0,0.0,0.0,49.0,1122.0,0.0,0.0,12.0,0.0,17.7,278.0,124.0,,,,treatment,False,False
Elevate-Code/better-voice-typing,2025-02,1,2024-10,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,2,66,20,1,8.0,1.0,2.0,80.0,1161.0,0.0,0.0,12.0,0.0,17.3,278.0,124.0,,,,treatment,False,False
Elevate-Code/better-voice-typing,2025-03,1,2024-10,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,5,710,404,1,8.0,1.0,1.0,108.0,1139.0,0.0,0.0,11.0,0.0,15.6,262.0,69.0,,,,treatment,False,True
Elevate-Code/better-voice-typing,2025-06,1,2024-10,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,6,1380,223,1,5.0,0.0,1.0,200.0,1555.0,0.0,0.0,19.0,0.0,20.4,337.0,109.0,,,,treatment,False,False
Elevate-Code/better-voice-typing,2025-07,1,2024-10,1,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,7,467,138,1,3.0,6.0,4.0,230.0,1691.0,0.0,0.0,20.0,0.0,20.8,364.0,114.0,,,,treatment,False,False
Elevate-Code/better-voice-typing,2025-08,1,2024-10,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,2,486,227,1,,,,,1824.0,0.0,0.0,24.0,0.0,21.4,413.0,144.0,,,,treatment,,
Hankanman/Area-Occupancy-Detection,2024-11,0,2024-12,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,43,13664,7720,2,3.0,0.0,0.0,0.0,2055.0,1.0,0.0,22.0,0.0,12.0,336.0,161.0,,,,treatment,,
Hankanman/Area-Occupancy-Detection,2024-12,1,2024-12,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,144,31582,28221,2,44.0,18.0,20.0,5.0,2764.0,1.0,0.0,39.0,0.0,11.2,230.0,207.0,,,,treatment,True,True
Hankanman/Area-Occupancy-Detection,2025-02,1,2024-12,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,7,3084,2128,1,0.0,2.0,1.0,67.0,3280.0,2.0,0.0,38.0,0.0,11.4,246.0,203.0,,,,treatment,True,False
Hankanman/Area-Occupancy-Detection,2025-03,1,2024-12,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,8,4239,2505,2,0.0,1.0,0.0,95.0,3789.0,1.0,0.0,48.0,0.0,14.5,325.0,255.0,,,,treatment,True,False
