dataset_source,repo_name,repo_dir,candidate_ref,candidate_priority,candidate_tip_commit,candidate_kind,candidate_revision_count,candidate_contains_all_panel_anchors,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,selected,selection_status
control,monero-project/meta,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/monero-project_meta,HEAD,1,97fb74b0bfffafa553b8ca6b4978218b4ca13362,head,1,1,119,1,1,1,1,1,perfect_panel_match
control,neuml/rag,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/neuml_rag,HEAD,1,58e4d04a2c85c76ceb0b001934e3b2b3aab1d7ff,head,1,1,36,8,8,8,8,1,perfect_panel_match
control,nhw649/EOV-Seg,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/nhw649_EOV-Seg,HEAD,1,6f5e93e9aca6ccae89fe492b24018f8530075fc4,head,1,1,14,3,3,3,3,1,perfect_panel_match
control,ninareyes1/Simple-Digital-Clock,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,HEAD,1,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,head,1,1,1,1,1,1,1,1,perfect_panel_match
control,odoo/industry,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/odoo_industry,HEAD,1,6aa50d82d2dba5e5b8daf5bca7a534c941348b04,head,1,1,1023,13,13,13,13,1,perfect_panel_match
control,omkarcloud/amazon-scraper,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/omkarcloud_amazon-scraper,HEAD,1,4ac90262a334250f5e70fc6f97d65b164b3a073f,head,1,1,14,1,1,1,1,1,perfect_panel_match
control,peter279k/cdc-data-mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/peter279k_cdc-data-mirror,HEAD,1,e7f6dc3eddb5cb1b66b023c889aa067c04ba476f,head,1,1,135805,20,20,20,20,1,perfect_panel_match
control,pieces-app/cli-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,HEAD,1,d621f13d96d9b0a98abd3e0a09680c39cc24e74b,head,1,1,1321,20,20,20,20,1,perfect_panel_match
control,plurai-ai/intellagent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/plurai-ai_intellagent,HEAD,1,d0312269dcae9b7e247cb361893ca79b8c6d80c5,head,1,1,298,6,6,6,6,1,perfect_panel_match
control,popey/sbommage,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/popey_sbommage,HEAD,1,93e889b83ee7cc3f0a99649cad86f134a624ce46,head,1,1,39,2,2,2,2,1,perfect_panel_match
