function_line_count,events,agc_events,hwc_events,repositories,share_of_total,cumulative_events_le,cumulative_share_le,agc_ratio
280,28,20,8,8,6.214654154496302e-05,447321,0.992837611086943,0.7142857142857143
281,28,15,13,6,6.214654154496302e-05,447349,0.9928997576284879,0.5357142857142857
282,34,11,23,12,7.546365759031225e-05,447383,0.9929752212860783,0.3235294117647059
283,34,10,24,9,7.546365759031225e-05,447417,0.9930506849436685,0.29411764705882354
284,32,12,20,8,7.102461890852917e-05,447449,0.9931217095625772,0.375
285,30,10,20,7,6.65855802267461e-05,447479,0.9931882951428038,0.3333333333333333
286,43,11,32,13,9.543933165833607e-05,447522,0.9932837344744622,0.2558139534883721
287,31,4,27,10,6.880509956763764e-05,447553,0.9933525395740298,0.12903225806451613
288,20,2,18,10,4.439038681783073e-05,447573,0.9933969299608477,0.1
289,18,2,16,8,3.9951348136047657e-05,447591,0.9934368813089838,0.1111111111111111
290,25,1,24,7,5.548798352228841e-05,447616,0.9934923692925061,0.04
291,6,0,6,5,1.331711604534922e-05,447622,0.9935056864085514,0.0
292,21,1,20,9,4.6609906158722264e-05,447643,0.9935522963147101,0.047619047619047616
293,26,3,23,8,5.770750286317995e-05,447669,0.9936100038175733,0.11538461538461539
294,20,1,19,10,4.439038681783073e-05,447689,0.9936543942043911,0.05
295,27,0,27,6,5.9927022204071485e-05,447716,0.9937143212265952,0.0
296,18,2,16,9,3.9951348136047657e-05,447734,0.9937542725747313,0.1111111111111111
297,14,1,13,5,3.107327077248151e-05,447748,0.9937853458455037,0.07142857142857142
298,16,2,14,7,3.551230945426458e-05,447764,0.9938208581549579,0.125
299,17,0,17,7,3.773182879515612e-05,447781,0.9938585899837531,0.0
300,16,0,16,11,3.551230945426458e-05,447797,0.9938941022932074,0.0
301,16,1,15,7,3.551230945426458e-05,447813,0.9939296146026616,0.0625
302,16,4,12,7,3.551230945426458e-05,447829,0.9939651269121159,0.25
303,9,1,8,6,1.9975674068023828e-05,447838,0.9939851025861839,0.1111111111111111
304,16,0,16,9,3.551230945426458e-05,447854,0.9940206148956382,0.0
305,20,0,20,8,4.439038681783073e-05,447874,0.994065005282456,0.0
306,16,0,16,5,3.551230945426458e-05,447890,0.9941005175919103,0.0
307,17,2,15,7,3.773182879515612e-05,447907,0.9941382494207055,0.11764705882352941
308,14,1,13,8,3.107327077248151e-05,447921,0.994169322691478,0.07142857142857142
309,14,0,14,7,3.107327077248151e-05,447935,0.9942003959622504,0.0
310,11,2,9,7,2.4414712749806902e-05,447946,0.9942248106750002,0.18181818181818182
