repo_name,repo_key,event,event_index,model_a_complete_rows,pre_treatment_complete_rows,post_treatment_complete_rows,first_complete_month,last_complete_month,borusyak_estimable,estimability_reason
VRSEN/agency-swarm,vrsen/agency-swarm,2024-10,10,20,9,11,2024-01,2025-08,1,estimable
VRSEN/agency-swarm-memory-demo,vrsen/agency-swarm-memory-demo,2025-02,14,1,0,1,2025-02,2025-02,0,no_pre_treatment_complete_case_row
VRSEN/agency-voice-interface,vrsen/agency-voice-interface,2024-10,10,4,0,4,2024-10,2025-01,0,no_pre_treatment_complete_case_row
W1ndys/Blog,w1ndys/blog,2025-01,13,16,10,6,2024-03,2025-06,1,estimable
WangQrkkk/ThinkingCursor,wangqrkkk/thinkingcursor,2025-01,13,2,0,2,2025-01,2025-02,0,no_pre_treatment_complete_case_row
airweave-ai/airweave,airweave-ai/airweave,2025-03,15,9,3,6,2024-12,2025-08,1,estimable
allthingslinux/tux,allthingslinux/tux,2025-02,14,20,13,7,2024-01,2025-08,1,estimable
appl-team/appl,appl-team/appl,2024-12,12,9,7,2,2024-05,2025-01,1,estimable
arjitvermaco/DbDost,arjitvermaco/dbdost,2024-11,11,1,0,1,2024-11,2024-11,0,no_pre_treatment_complete_case_row
askjohngeorge/pipecat-lead-qualifier,askjohngeorge/pipecat-lead-qualifier,2025-01,13,2,0,2,2025-01,2025-02,0,no_pre_treatment_complete_case_row
