exclusion_stage,exclusion_reason,scope_role,dataset_source,repo_name,time,event,time_to_event,python_eligible,scan_status,commits,lines_added,age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,contributors,stars,issues,latest_commit_effective,commit_resolution
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,arjitvermaco/DbDost,2024-11,2024-11,0.0,1,success_python,2.0,734.0,0,1389.0,1389.0,,replication_panel,0,,1.0,37,2,176ee4f30a775ec1f0011d16122e92f851b540c1,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,askjohngeorge/pipecat-lead-qualifier,2025-01,2025-01,0.0,1,success_python,174.0,18196.0,0,3588.0,3588.0,,replication_panel,0,,1.0,2,0,322142a04cd2f43c9f5a14123abd4ea5329ddbfd,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,askjohngeorge/pipecat-lead-qualifier,2025-02,2025-01,1.0,1,success_python,222.0,8015.0,11,2493.0,2493.0,,replication_panel,0,,1.0,6,0,c863efa7c17ff84a4780e475fc5dfaa18ac35fd6,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,c4fun/tell-stories-webui,2025-02,2025-02,0.0,1,success_python,18.0,1115.0,0,2850.0,2850.0,,replication_panel,0,,2.0,38,3,710af02d6d75c9beeb2879b9895ac12dcc5ef4a2,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,c4fun/tell-stories-webui,2025-03,2025-02,1.0,1,success_python,0.0,0.0,0,2850.0,2850.0,,replication_panel,0,,0.0,0,0,710af02d6d75c9beeb2879b9895ac12dcc5ef4a2,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,c4fun/tell-stories-webui,2025-04,2025-02,2.0,1,success_python,2.0,4.0,56,2850.0,2850.0,,replication_panel,0,,2.0,0,3,2a586311600393da4899d04a91a1fbe38ce7b5b0,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cbardyn/ai-swiss-workflows,2024-12,2024-12,0.0,1,success_python,7.0,25497.0,0,1482.0,1482.0,,replication_panel,0,,3.0,19,0,bf04a8adaf2d272d56a760499fec4de6d5dcb048,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,codingforentrepreneurs/Cursor-Django,2024-10,2024-10,0.0,1,success_python,32.0,1517.0,0,844.0,844.0,,replication_panel,0,,2.0,5,0,62068036fd145b8473920dbf910b42e5bf96d54a,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cohnen/mcp-google-ads,2025-03,2025-03,0.0,1,success_python,10.0,1423.0,0,943.0,943.0,,replication_panel,0,,1.0,13,0,e7055815879aa160975f5f5e4b61f667cc4df369,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cohnen/mcp-google-ads,2025-04,2025-03,1.0,1,success_python,2.0,422.0,11,1099.0,1099.0,,replication_panel,0,,2.0,51,3,557a40ed6371b18a225d0564829648e4014461d6,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cohnen/mcp-google-ads,2025-05,2025-03,2.0,1,success_python,0.0,0.0,41,1099.0,1099.0,,replication_panel,0,,0.0,38,2,557a40ed6371b18a225d0564829648e4014461d6,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cohnen/mcp-google-ads,2025-06,2025-03,3.0,1,success_python,0.0,0.0,72,1099.0,1099.0,,replication_panel,0,,0.0,30,0,557a40ed6371b18a225d0564829648e4014461d6,carried_forward
