control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
LuneMods/KCD2-Blender-Toolkit,13,13,72,47,1,aligned,2,2,0,0,2025-02,2025-03,lunemods/kcd2-blender-toolkit,4,1,2,2025-02,2025-03,2,2025-02,2025-03,2,2025-02,2025-03,2,2025-02,2025-03,0,2,0,0,,0,0,0,model_a_estimable_available
MIT-Emerging-Talent/ET6-edXtras,13,13,72,47,1,aligned,3,3,0,0,2025-02,2025-04,mit-emerging-talent/et6-edxtras,4,1,3,2025-02,2025-04,3,2025-02,2025-04,3,2025-02,2025-04,3,2025-02,2025-04,0,3,0,0,,0,0,0,model_a_estimable_available
Makopolo/megascan_houdini20.0_USD_plugin,1,1,1,1,1,aligned,4,4,0,0,2024-04,2024-07,makopolo/megascan_houdini20.0_usd_plugin,0,0,4,2024-04,2024-07,4,2024-04,2024-07,4,2024-04,2024-07,0,,,0,4,0,0,,0,0,0,not_linked_to_estimable_treatment
MalevichAI/malevich,1,1,20,20,1,aligned,15,15,0,0,2023-09,2024-11,malevichai/malevich,1,1,11,2024-01,2024-11,11,2024-01,2024-11,11,2024-01,2024-11,11,2024-01,2024-11,0,11,0,0,,0,0,0,model_a_estimable_available
MingSun-Tse/LightAvatar-TensorFlow,1,1,1,1,1,aligned,3,3,0,0,2024-09,2024-11,mingsun-tse/lightavatar-tensorflow,0,0,3,2024-09,2024-11,3,2024-09,2024-11,3,2024-09,2024-11,0,,,0,3,0,0,,0,0,0,not_linked_to_estimable_treatment
MrTimonM/Arichain-Bot,6,6,32,30,1,aligned,1,1,0,0,2025-01,2025-01,mrtimonm/arichain-bot,1,1,1,2025-01,2025-01,1,2025-01,2025-01,1,2025-01,2025-01,1,2025-01,2025-01,0,1,0,0,,0,0,0,model_a_estimable_available
NVIDIA/cuEquivariance,2,2,40,20,1,aligned,10,10,0,0,2024-11,2025-08,nvidia/cuequivariance,2,1,10,2024-11,2025-08,10,2024-11,2025-08,10,2024-11,2025-08,10,2024-11,2025-08,0,10,0,0,,0,0,0,model_a_estimable_available
NiceRingNode/LGGPT,1,1,2,2,1,aligned,8,7,1,0,2025-01,2025-08,niceringnode/lggpt,1,1,8,2025-01,2025-08,7,2025-02,2025-08,7,2025-02,2025-08,7,2025-02,2025-08,1,7,0,0,,0,0,0,model_a_estimable_available
OSU-NLP-Group/HippoRAG,1,1,11,9,1,aligned,17,17,0,0,2024-05,2025-09,osu-nlp-group/hipporag,1,1,16,2024-05,2025-08,16,2024-05,2025-08,16,2024-05,2025-08,16,2024-05,2025-08,0,16,0,0,,0,0,0,model_a_estimable_available
PennyLaneAI/catalyst,1,1,20,20,1,aligned,32,32,0,0,2023-02,2025-09,pennylaneai/catalyst,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
PhilNad/robot-arm-kinematic-calibration,1,1,1,1,1,aligned,9,9,0,0,2024-07,2025-03,philnad/robot-arm-kinematic-calibration,0,0,9,2024-07,2025-03,9,2024-07,2025-03,9,2024-07,2025-03,0,,,0,9,0,0,,0,0,0,not_linked_to_estimable_treatment
PiotrMachowski/Home-Assistant-custom-components-TGE,1,1,20,13,1,aligned,13,13,0,0,2024-08,2025-08,piotrmachowski/home-assistant-custom-components-tge,1,1,13,2024-08,2025-08,13,2024-08,2025-08,13,2024-08,2025-08,13,2024-08,2025-08,0,13,0,0,,0,0,0,model_a_estimable_available
PromtEngineer/localGPT,4,4,61,61,1,aligned,27,27,0,0,2023-05,2025-07,promtengineer/localgpt,4,1,19,2024-01,2025-07,19,2024-01,2025-07,19,2024-01,2025-07,19,2024-01,2025-07,0,19,0,0,,0,0,0,model_a_estimable_available
QiuChenly/InjectLib,2,2,40,0,0,control_clone_missing,0,0,0,0,,,qiuchenly/injectlib,2,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
R0uter/ss.conf-for-surge,2,2,39,39,1,aligned,105,105,0,0,2015-11,2024-07,r0uter/ss.conf-for-surge,2,1,7,2024-01,2024-07,7,2024-01,2024-07,1,2024-07,2024-07,1,2024-07,2024-07,0,7,0,0,,0,0,0,model_a_estimable_available
Retmon403/cs2_cheats_for_python,1,1,12,12,1,aligned,16,16,0,0,2023-12,2025-03,retmon403/cs2_cheats_for_python,1,1,15,2024-01,2025-03,15,2024-01,2025-03,14,2024-02,2025-03,14,2024-02,2025-03,0,15,0,0,,0,0,0,model_a_estimable_available
